FECHA,Cuenta_corriente_milesdeUSD,Mezcla_crudo_mexicano_USDxbarril,Deuda_publica _neta _en_USD,IPC,Tasa_interes_referencia,Estabilidad_politica,USDMXN
ene-00,-4978778.1,22.89117,138981231.00,59.80832658,18.76,-0.23,9.587
feb-00,-4978778.1,25.32355,138981231.00,60.33884472,19.26,-0.23,9.369
mar-00,-4978778.1,24.96291,138981231.00,60.6733558,17.75,-0.23,9.262
abr-00,-3496494.6,21.65735,138981231.00,61.01856512,14.64,-0.23,9.392
may-00,-3496494.6,24.66174,138981231.00,61.24666691,14.94,-0.23,9.5225
jun-00,-3496494.6,26.40098,138981231.00,61.60945191,16.73,-0.23,9.8075
jul-00,-4022638.6,24.39255,138981231.00,61.84978026,17.76,-0.23,9.34
ago-00,-4022638.6,26.20677,138981231.00,62.18964046,14.55,-0.23,9.2035
sep-00,-4022638.6,27.77915,138981231.00,62.64393363,16.22,-0.23,9.4435
oct-00,-6254510.5,26.91603,138981231.00,63.075302,16.96,-0.23,9.5675
nov-00,-6254510.5,26.32303,138981231.00,63.61460798,18.11,-0.23,9.421
dic-00,-6254510.5,19.91178,138981231.00,64.30330726,18.8,-0.23,9.641
ene-01,-4785163.7,20.08089,139898938.00,64.65978794,18.77,-0.23,9.6595
feb-01,-4785163.7,20.63277,140822704.60,64.61699498,18.15,-0.23,9.681
mar-01,-4785163.7,18.53041,141752571.00,65.02639374,17.42,-0.23,9.457
abr-01,-3594226.1,18.57543,142688577.40,65.35440947,16.75,-0.23,9.247
may-01,-3594226.1,20.12932,143630764.40,65.50437588,15.58,-0.23,9.175
jun-01,-3594226.1,20.29016,144579172.70,65.65930934,12.38,-0.23,9.028
jul-01,-3326700,19.60035,145533843.40,65.4887106,11,-0.23,9.17
ago-01,-3326700,20.45212,146494817.90,65.87671289,10.14,-0.23,9.2045
sep-01,-3326700,20.33249,147462137.90,66.48995136,10.42,-0.23,9.5
oct-01,-6046420.6,16.64397,148435845.10,66.79045731,11.5,-0.23,9.28
nov-01,-6046420.6,14.28665,149415981.90,67.04205702,9.22,-0.23,9.22
dic-01,-6046420.6,14.42982,150402598.00,67.13490247,8.9,-0.10,9.153
ene-02,-3853395,14.80288,150898233.20,67.7546363,8,-0.10,9.1505
feb-02,-3853395,16.1771,151395501.70,67.71107918,9.2,-0.10,9.126
mar-02,-3853395,20.05408,151894409.00,68.05743473,8.45,-0.10,9.01
abr-02,-3086371.4,22.48318,152394960.30,68.42919862,8.05,-0.10,9.412
may-02,-3086371.4,22.60172,152897161.10,68.56789368,6.77,-0.10,9.6455
jun-02,-3086371.4,21.94004,153401016.90,68.90221371,8.05,-0.10,9.94
jul-02,-3327573,22.92914,153906533.10,69.10001172,9.75,-0.10,9.875
ago-02,-3327573,23.84142,154413715.10,69.36274679,7.85,-0.10,9.94
sep-02,-3327573,25.09276,154922568.50,69.77995076,7.55,-0.10,10.1925
oct-02,-4609036.9,23.6122,155433098.80,70.0875094,9.2,-0.10,10.201
nov-02,-4609036.9,20.65916,155945311.50,70.65435513,8.49,-0.10,10.147
dic-02,-4609036.9,24.02607,156459206.00,70.96191376,7.85,-0.10,10.37
ene-03,-2412982,27.62809,156910716.00,71.24878459,8.75,-0.14,10.909
feb-03,-2412982,27.75028,157363528.90,71.44669788,9.7,-0.14,11.0185
mar-03,-2412982,24.68421,157817648.60,71.89769193,10.12,-0.14,10.7753
abr-03,-1833245.9,21.1071,158273078.80,72.02043955,9.49,-0.14,10.27
may-03,-1833245.9,22.4857,158729823.20,71.78804659,6.7,-0.14,10.315
jun-03,-1833245.9,24.20709,159187885.70,71.84735162,5.37,-0.14,10.4563
jul-03,-1624508,25.31592,159647270.10,71.95148021,5.35,-0.14,10.607
ago-03,-1624508,25.66729,160107980.20,72.16732293,4.9,-0.14,11.0471
sep-03,-1624508,23.05297,160570019.80,72.59693958,5.25,-0.14,10.986
oct-03,-2474274.9,24.8227,161033392.80,72.86312262,5.03,-0.14,11.013
nov-03,-2474274.9,24.93454,161498103.00,73.46789598,5.14,-0.14,11.3782
dic-03,-2474274.9,25.29165,161964182.00,73.78372973,6.54,-0.14,11.23
ene-04,-1792508.9,26.33065,162715712.00,74.24230931,6.25,-0.22,11.0645
feb-04,-1792508.9,26.07892,163470729.20,74.68640743,5.15,-0.22,11.06
mar-04,-1792508.9,27.86362,164229249.70,74.93948818,6.65,-0.22,11.125
abr-04,304245.2,28.78291,164991289.80,75.05258149,6.24,-0.22,11.4165
may-04,304245.2,31.67512,165756865.90,74.86432251,6.45,-0.22,11.455
jun-04,304245.2,30.03609,166525994.40,74.98431175,6.89,-0.22,11.495
jul-04,-1199169.1,31.78749,167298691.60,75.18084586,7.24,-0.22,11.395
ago-04,-1199169.1,33.85104,168074974.30,75.64494218,7.37,-0.22,11.392
sep-04,-1199169.1,34.8086,168854859.00,76.27040334,7.6,-0.22,11.38
oct-04,-4329211.1,38.93323,169638362.40,76.79863185,8.04,-0.22,11.5363
nov-04,-4329211.1,32.40605,170425501.40,77.45374553,8.25,-0.22,11.22
dic-04,-4329211.1,28.96357,171216230.00,77.61373118,8.83,-0.22,11.135
ene-05,-4177823.5,31.69187,172066832.20,77.61648956,8.96,-0.44,11.195
feb-05,-4177823.5,33.68662,172921660.30,77.87508706,9.28,-0.44,11.098
mar-05,-4177823.5,38.42544,173780735.10,78.22609007,9.69,-0.44,11.1702
abr-05,-984649.7,39.86037,174644077.80,78.50468579,9.95,-0.44,11.05
may-05,-984649.7,40.05323,175511709.50,78.30746209,10.11,-0.44,10.882
jun-05,-984649.7,44.67905,176383651.70,78.23229641,10.035,-0.44,10.7427
jul-05,-983948.1,46.55575,177259925.70,78.53847586,9.98,-0.44,10.6038
ago-05,-983948.1,50.33795,178140553.00,78.63226056,10.02,-0.44,10.757
sep-05,-983948.1,50.96652,179025555.30,78.94740472,9.78,-0.44,10.759
oct-05,-2906783.4,48.00695,179914954.20,79.14118045,9.48,-0.44,10.786
nov-05,-2906783.4,43.75796,180808771.70,79.71078455,9.28,-0.44,10.5572
dic-05,-2906783.4,45.08786,181706987.00,80.20039583,9,-0.44,10.6285
ene-06,-2458978.3,50.17777,188894645.00,80.67069849,8.57,-0.64,10.4448
feb-06,-2458978.3,48.80032,187986906.00,80.7941357,8.11,-0.64,10.479
mar-06,-2458978.3,51.36728,182367430.00,80.89550592,7.78,-0.64,10.8808
abr-06,-1167591.3,57.08987,175508540.00,81.01411598,7.58,-0.64,11.057
may-06,-1167591.3,56.76711,173079466.00,80.65345866,7.31,-0.64,11.331
jun-06,-1167591.3,55.66526,173675931.00,80.72310758,7.34,-0.64,11.335
jul-06,-1174458.7,59.42591,180115489.00,80.94446705,7.32,-0.64,10.965
ago-06,-1174458.7,60.15334,177524973.00,81.35753346,7.32,-0.64,10.9125
sep-06,-1174458.7,51.30506,174243689.00,82.17883914,7.28,-0.64,10.9755
oct-06,-2713568.7,48.50969,177620192.00,82.53811727,7.32,-0.64,10.7605
nov-06,-2713568.7,47.60098,169767928.00,82.97118189,7.3,-0.64,10.9827
dic-06,-2713568.7,49.76811,182502721.00,83.45113886,7.31,-0.64,10.8027
ene-07,-6100059.8,44.40443,182602516.00,83.88213471,7.37,-0.73,11.0025
feb-07,-6100059.8,48.35223,181974891.00,84.11659644,7.45,-0.73,11.1622
mar-07,-6100059.8,50.47337,180517711.00,84.29864909,7.46,-0.73,11.043
abr-07,-3680394,54.553,178791665.00,84.24830877,7.45,-0.73,10.9657
may-07,-3680394,56.18645,175274232.00,83.83731114,7.7,-0.73,10.7445
jun-07,-3680394,59.99722,178726820.00,83.93799177,7.7,-0.73,10.8078
jul-07,-1373122.9,64.53812,177619390.00,84.29451153,7.7,-0.73,10.99
ago-07,-1373122.9,63.03978,178622275.00,84.63792901,7.71,-0.73,11.0325
sep-07,-1373122.9,67.49147,178444048.00,85.29511147,7.71,-0.73,10.922
