,Pais_comprador,Industria,Año,Mes,Monto,t-1,t-2,t-3,t-4,t-5,t-6,t-9,t-10,t-11
0,América Latina,Industrias Manufactureras,2016.0,8,184201588.0,182003493.0,235400594.0,186511927.0,180442928.0,172482653.0,156284467.0,172334311.0,197189996.0,205014645.0
1,América Latina,Industrias Manufactureras,2016.0,9,209812150.0,184201588.0,182003493.0,235400594.0,186511927.0,180442928.0,172482653.0,195252447.0,172334311.0,197189996.0
2,América Latina,Industrias Manufactureras,2016.0,10,206177987.0,209812150.0,184201588.0,182003493.0,235400594.0,186511927.0,180442928.0,150011545.0,195252447.0,172334311.0
3,América Latina,Industrias Manufactureras,2016.0,11,193984710.0,206177987.0,209812150.0,184201588.0,182003493.0,235400594.0,186511927.0,156284467.0,150011545.0,195252447.0
4,América Latina,Industrias Manufactureras,2016.0,12,188936649.0,193984710.0,206177987.0,209812150.0,184201588.0,182003493.0,235400594.0,172482653.0,156284467.0,150011545.0
5,América Latina,Industrias Manufactureras,2017.0,1,176497741.0,188936649.0,193984710.0,206177987.0,209812150.0,184201588.0,182003493.0,180442928.0,172482653.0,156284467.0
6,América Latina,Industrias Manufactureras,2017.0,2,170571934.0,176497741.0,188936649.0,193984710.0,206177987.0,209812150.0,184201588.0,186511927.0,180442928.0,172482653.0
7,América Latina,Industrias Manufactureras,2017.0,3,213453105.0,170571934.0,176497741.0,188936649.0,193984710.0,206177987.0,209812150.0,235400594.0,186511927.0,180442928.0
8,América Latina,Industrias Manufactureras,2017.0,4,190375350.0,213453105.0,170571934.0,176497741.0,188936649.0,193984710.0,206177987.0,182003493.0,235400594.0,186511927.0
9,América Latina,Industrias Manufactureras,2017.0,5,226491300.0,190375350.0,213453105.0,170571934.0,176497741.0,188936649.0,193984710.0,184201588.0,182003493.0,235400594.0
10,América Latina,Industrias Manufactureras,2017.0,6,231492812.0,226491300.0,190375350.0,213453105.0,170571934.0,176497741.0,188936649.0,209812150.0,184201588.0,182003493.0
11,América Latina,Industrias Manufactureras,2017.0,7,205106823.0,231492812.0,226491300.0,190375350.0,213453105.0,170571934.0,176497741.0,206177987.0,209812150.0,184201588.0
12,América Latina,Industrias Extractivas,2016.0,8,1628330.0,1259245.0,1132882.0,1049375.0,907217.0,1220261.0,1150198.0,1159806.0,1136621.0,1295808.0
13,América Latina,Industrias Extractivas,2016.0,9,1677727.0,1628330.0,1259245.0,1132882.0,1049375.0,907217.0,1220261.0,1070895.0,1159806.0,1136621.0
14,América Latina,Industrias Extractivas,2016.0,10,1417988.0,1677727.0,1628330.0,1259245.0,1132882.0,1049375.0,907217.0,1058368.0,1070895.0,1159806.0
15,América Latina,Industrias Extractivas,2016.0,11,972357.0,1417988.0,1677727.0,1628330.0,1259245.0,1132882.0,1049375.0,1150198.0,1058368.0,1070895.0
16,América Latina,Industrias Extractivas,2016.0,12,939289.0,972357.0,1417988.0,1677727.0,1628330.0,1259245.0,1132882.0,1220261.0,1150198.0,1058368.0
17,América Latina,Industrias Extractivas,2017.0,1,743038.0,939289.0,972357.0,1417988.0,1677727.0,1628330.0,1259245.0,907217.0,1220261.0,1150198.0
18,América Latina,Industrias Extractivas,2017.0,2,1174774.0,743038.0,939289.0,972357.0,1417988.0,1677727.0,1628330.0,1049375.0,907217.0,1220261.0
19,América Latina,Industrias Extractivas,2017.0,3,1145274.0,1174774.0,743038.0,939289.0,972357.0,1417988.0,1677727.0,1132882.0,1049375.0,907217.0
20,América Latina,Industrias Extractivas,2017.0,4,924650.0,1145274.0,1174774.0,743038.0,939289.0,972357.0,1417988.0,1259245.0,1132882.0,1049375.0
21,América Latina,Industrias Extractivas,2017.0,5,1237762.0,924650.0,1145274.0,1174774.0,743038.0,939289.0,972357.0,1628330.0,1259245.0,1132882.0
22,América Latina,Industrias Extractivas,2017.0,6,1204378.0,1237762.0,924650.0,1145274.0,1174774.0,743038.0,939289.0,1677727.0,1628330.0,1259245.0
23,América Latina,Industrias Extractivas,2017.0,7,1118482.0,1204378.0,1237762.0,924650.0,1145274.0,1174774.0,743038.0,1417988.0,1677727.0,1628330.0
24,América Latina,Agricultura y Silvicultura,2016.0,8,1291060.0,1996147.0,2550122.0,6813275.0,11382506.0,6262862.0,1694510.0,650335.0,1988064.0,1468366.0
25,América Latina,Agricultura y Silvicultura,2016.0,9,2598763.0,1291060.0,1996147.0,2550122.0,6813275.0,11382506.0,6262862.0,1219036.0,650335.0,1988064.0
26,América Latina,Agricultura y Silvicultura,2016.0,10,7177628.0,2598763.0,1291060.0,1996147.0,2550122.0,6813275.0,11382506.0,483847.0,1219036.0,650335.0
27,América Latina,Agricultura y Silvicultura,2016.0,11,5968904.0,7177628.0,2598763.0,1291060.0,1996147.0,2550122.0,6813275.0,1694510.0,483847.0,1219036.0
28,América Latina,Agricultura y Silvicultura,2016.0,12,5579930.0,5968904.0,7177628.0,2598763.0,1291060.0,1996147.0,2550122.0,6262862.0,1694510.0,483847.0
29,América Latina,Agricultura y Silvicultura,2017.0,1,3665253.0,5579930.0,5968904.0,7177628.0,2598763.0,1291060.0,1996147.0,11382506.0,6262862.0,1694510.0
30,América Latina,Agricultura y Silvicultura,2017.0,2,8335586.0,3665253.0,5579930.0,5968904.0,7177628.0,2598763.0,1291060.0,6813275.0,11382506.0,6262862.0
31,América Latina,Agricultura y Silvicultura,2017.0,3,13086784.0,8335586.0,3665253.0,5579930.0,5968904.0,7177628.0,2598763.0,2550122.0,6813275.0,11382506.0
32,América Latina,Agricultura y Silvicultura,2017.0,4,3884756.0,13086784.0,8335586.0,3665253.0,5579930.0,5968904.0,7177628.0,1996147.0,2550122.0,6813275.0
33,América Latina,Agricultura y Silvicultura,2017.0,5,7871155.0,3884756.0,13086784.0,8335586.0,3665253.0,5579930.0,5968904.0,1291060.0,1996147.0,2550122.0
34,América Latina,Agricultura y Silvicultura,2017.0,6,1950147.0,7871155.0,3884756.0,13086784.0,8335586.0,3665253.0,5579930.0,2598763.0,1291060.0,1996147.0
35,América Latina,Agricultura y Silvicultura,2017.0,7,1601679.0,1950147.0,7871155.0,3884756.0,13086784.0,8335586.0,3665253.0,7177628.0,2598763.0,1291060.0
36,América Latina,Servicios y Productos no Clasificados,2016.0,8,1703657.0,1766712.0,15838647.0,1192153.0,1003179.0,1453076.0,1301689.0,428783.0,245251.0,346576.0
37,América Latina,Servicios y Productos no Clasificados,2016.0,9,1347368.0,1703657.0,1766712.0,15838647.0,1192153.0,1003179.0,1453076.0,242868.0,428783.0,245251.0
38,América Latina,Servicios y Productos no Clasificados,2016.0,10,1469897.0,1347368.0,1703657.0,1766712.0,15838647.0,1192153.0,1003179.0,294162.0,242868.0,428783.0
39,América Latina,Servicios y Productos no Clasificados,2016.0,11,2300127.0,1469897.0,1347368.0,1703657.0,1766712.0,15838647.0,1192153.0,1301689.0,294162.0,242868.0
40,América Latina,Servicios y Productos no Clasificados,2016.0,12,1873596.0,2300127.0,1469897.0,1347368.0,1703657.0,1766712.0,15838647.0,1453076.0,1301689.0,294162.0
41,América Latina,Servicios y Productos no Clasificados,2017.0,1,1363041.0,1873596.0,2300127.0,1469897.0,1347368.0,1703657.0,1766712.0,1003179.0,1453076.0,1301689.0
42,América Latina,Servicios y Productos no Clasificados,2017.0,2,1422686.0,1363041.0,1873596.0,2300127.0,1469897.0,1347368.0,1703657.0,1192153.0,1003179.0,1453076.0
43,América Latina,Servicios y Productos no Clasificados,2017.0,3,1219265.0,1422686.0,1363041.0,1873596.0,2300127.0,1469897.0,1347368.0,15838647.0,1192153.0,1003179.0
44,América Latina,Servicios y Productos no Clasificados,2017.0,4,1480990.0,1219265.0,1422686.0,1363041.0,1873596.0,2300127.0,1469897.0,1766712.0,15838647.0,1192153.0
45,América Latina,Servicios y Productos no Clasificados,2017.0,5,1455130.0,1480990.0,1219265.0,1422686.0,1363041.0,1873596.0,2300127.0,1703657.0,1766712.0,15838647.0
46,América Latina,Servicios y Productos no Clasificados,2017.0,6,3954476.0,1455130.0,1480990.0,1219265.0,1422686.0,1363041.0,1873596.0,1347368.0,1703657.0,1766712.0
47,América Latina,Servicios y Productos no Clasificados,2017.0,7,1647873.0,3954476.0,1455130.0,1480990.0,1219265.0,1422686.0,1363041.0,1469897.0,1347368.0,1703657.0
48,América Latina,"Ganadería, Apicultura, Caza, Pesca",2016.0,8,3833.0,4394.0,315.0,4920.0,4090.0,978.0,4104.0,0.0,0.0,0.0
49,América Latina,"Ganadería, Apicultura, Caza, Pesca",2016.0,9,7490.0,3833.0,4394.0,315.0,4920.0,4090.0,978.0,0.0,0.0,0.0
50,América Latina,"Ganadería, Apicultura, Caza, Pesca",2016.0,10,3560.0,7490.0,3833.0,4394.0,315.0,4920.0,4090.0,0.0,0.0,0.0
51,América Latina,"Ganadería, Apicultura, Caza, Pesca",2016.0,11,2954.0,3560.0,7490.0,3833.0,4394.0,315.0,4920.0,4104.0,0.0,0.0
52,América Latina,"Ganadería, Apicultura, Caza, Pesca",2016.0,12,3234.0,2954.0,3560.0,7490.0,3833.0,4394.0,315.0,978.0,4104.0,0.0
53,América Latina,"Ganadería, Apicultura, Caza, Pesca",2017.0,1,1300.0,3234.0,2954.0,3560.0,7490.0,3833.0,4394.0,4090.0,978.0,4104.0
54,América Latina,"Ganadería, Apicultura, Caza, Pesca",2017.0,2,270.0,1300.0,3234.0,2954.0,3560.0,7490.0,3833.0,4920.0,4090.0,978.0
55,América Latina,"Ganadería, Apicultura, Caza, Pesca",2017.0,3,1238.0,270.0,1300.0,3234.0,2954.0,3560.0,7490.0,315.0,4920.0,4090.0
56,América Latina,"Ganadería, Apicultura, Caza, Pesca",2017.0,4,80.0,1238.0,270.0,1300.0,3234.0,2954.0,3560.0,4394.0,315.0,4920.0
57,América Latina,"Ganadería, Apicultura, Caza, Pesca",2017.0,5,510.0,80.0,1238.0,270.0,1300.0,3234.0,2954.0,3833.0,4394.0,315.0
58,América Latina,"Ganadería, Apicultura, Caza, Pesca",2017.0,6,287.0,510.0,80.0,1238.0,270.0,1300.0,3234.0,7490.0,3833.0,4394.0
59,América Latina,"Ganadería, Apicultura, Caza, Pesca",2017.0,7,1235.0,287.0,510.0,80.0,1238.0,270.0,1300.0,3560.0,7490.0,3833.0
60,Asia,Industrias Manufactureras,2016.0,8,192334531.0,161760558.0,130945176.0,179216572.0,179504515.0,144366936.0,177079136.0,208212602.0,195019516.0,210494948.0
61,Asia,Industrias Manufactureras,2016.0,9,147237405.0,192334531.0,161760558.0,130945176.0,179216572.0,179504515.0,144366936.0,174151450.0,208212602.0,195019516.0
62,Asia,Industrias Manufactureras,2016.0,10,198226433.0,147237405.0,192334531.0,161760558.0,130945176.0,179216572.0,179504515.0,181516595.0,174151450.0,208212602.0
63,Asia,Industrias Manufactureras,2016.0,11,168923365.0,198226433.0,147237405.0,192334531.0,161760558.0,130945176.0,179216572.0,177079136.0,181516595.0,174151450.0
64,Asia,Industrias Manufactureras,2016.0,12,175626361.0,168923365.0,198226433.0,147237405.0,192334531.0,161760558.0,130945176.0,144366936.0,177079136.0,181516595.0
65,Asia,Industrias Manufactureras,2017.0,1,169275847.0,175626361.0,168923365.0,198226433.0,147237405.0,192334531.0,161760558.0,179504515.0,144366936.0,177079136.0
66,Asia,Industrias Manufactureras,2017.0,2,155214405.0,169275847.0,175626361.0,168923365.0,198226433.0,147237405.0,192334531.0,179216572.0,179504515.0,144366936.0
