,Pais_vendedor,industria,Año,Mes,Monto,t-1,t-8
0,América Latina,Industrias Manufactureras,2016.0,8,151413168.0,213204462.0,138478193.0
1,América Latina,Industrias Manufactureras,2016.0,9,135145030.0,151413168.0,133522068.0
2,América Latina,Industrias Manufactureras,2016.0,10,197032253.0,135145030.0,146672736.0
3,América Latina,Industrias Manufactureras,2016.0,11,178447140.0,197032253.0,148917364.0
4,América Latina,Industrias Manufactureras,2016.0,12,173112296.0,178447140.0,127890003.0
5,América Latina,Industrias Manufactureras,2017.0,1,195899079.0,173112296.0,172840193.0
6,América Latina,Industrias Manufactureras,2017.0,2,183503634.0,195899079.0,168955795.0
7,América Latina,Industrias Manufactureras,2017.0,3,152810474.0,183503634.0,213204462.0
8,América Latina,Industrias Manufactureras,2017.0,4,207662307.0,152810474.0,151413168.0
9,América Latina,Industrias Manufactureras,2017.0,5,185470521.0,207662307.0,135145030.0
10,América Latina,Industrias Manufactureras,2017.0,6,191672524.0,185470521.0,197032253.0
11,América Latina,Industrias Manufactureras,2017.0,7,168500082.0,191672524.0,178447140.0
12,América Latina,Industrias Extractivas,2016.0,8,1052825.0,1136920.0,37763.0
13,América Latina,Industrias Extractivas,2016.0,9,354837.0,1052825.0,58921.0
14,América Latina,Industrias Extractivas,2016.0,10,81955.0,354837.0,152841.0
15,América Latina,Industrias Extractivas,2016.0,11,185732.0,81955.0,147291.0
16,América Latina,Industrias Extractivas,2016.0,12,158012.0,185732.0,128104.0
17,América Latina,Industrias Extractivas,2017.0,1,57106.0,158012.0,40884.0
18,América Latina,Industrias Extractivas,2017.0,2,203345.0,57106.0,883591.0
19,América Latina,Industrias Extractivas,2017.0,3,109154.0,203345.0,1136920.0
20,América Latina,Industrias Extractivas,2017.0,4,161584.0,109154.0,1052825.0
21,América Latina,Industrias Extractivas,2017.0,5,573661.0,161584.0,354837.0
22,América Latina,Industrias Extractivas,2017.0,6,354813.0,573661.0,81955.0
23,América Latina,Industrias Extractivas,2017.0,7,325428.0,354813.0,185732.0
24,América Latina,Agricultura y Silvicultura,2016.0,8,4529588.0,5686495.0,16968531.0
25,América Latina,Agricultura y Silvicultura,2016.0,9,4685332.0,4529588.0,4983855.0
