,Pais_comprador,Industria,Año,Mes,Monto,t-1,t-2,t-3,t-6
6,33531501.132222224,295442415.28809524,2000.0,7,62364404.0,67485328.0,68750896.0,53314410.0,45624927.0
7,33531501.132222224,295442415.28809524,2000.0,8,60669012.0,62364404.0,67485328.0,68750896.0,38402717.0
8,33531501.132222224,295442415.28809524,2000.0,9,65432673.0,60669012.0,62364404.0,67485328.0,45714515.0
9,33531501.132222224,295442415.28809524,2000.0,10,55449279.0,65432673.0,60669012.0,62364404.0,53314410.0
10,33531501.132222224,295442415.28809524,2000.0,11,64030031.0,55449279.0,65432673.0,60669012.0,68750896.0
11,33531501.132222224,295442415.28809524,2000.0,12,69420372.0,64030031.0,55449279.0,65432673.0,67485328.0
12,33531501.132222224,295442415.28809524,2001.0,1,60262319.0,69420372.0,64030031.0,55449279.0,62364404.0
13,33531501.132222224,295442415.28809524,2001.0,2,67522980.0,60262319.0,69420372.0,64030031.0,60669012.0
14,33531501.132222224,295442415.28809524,2001.0,3,86290892.0,67522980.0,60262319.0,69420372.0,65432673.0
15,33531501.132222224,295442415.28809524,2001.0,4,77937911.0,86290892.0,67522980.0,60262319.0,55449279.0
16,33531501.132222224,295442415.28809524,2001.0,5,85108588.0,77937911.0,86290892.0,67522980.0,64030031.0
17,33531501.132222224,295442415.28809524,2001.0,6,73835368.0,85108588.0,77937911.0,86290892.0,69420372.0
18,33531501.132222224,295442415.28809524,2001.0,7,78546337.0,73835368.0,85108588.0,77937911.0,60262319.0
19,33531501.132222224,295442415.28809524,2001.0,8,69221493.0,78546337.0,73835368.0,85108588.0,67522980.0
20,33531501.132222224,295442415.28809524,2001.0,9,84228644.0,69221493.0,78546337.0,73835368.0,86290892.0
21,33531501.132222224,295442415.28809524,2001.0,10,82759261.0,84228644.0,69221493.0,78546337.0,77937911.0
22,33531501.132222224,295442415.28809524,2001.0,11,71924711.0,82759261.0,84228644.0,69221493.0,85108588.0
23,33531501.132222224,295442415.28809524,2001.0,12,70730651.0,71924711.0,82759261.0,84228644.0,73835368.0
24,33531501.132222224,295442415.28809524,2002.0,1,62023950.0,70730651.0,71924711.0,82759261.0,78546337.0
25,33531501.132222224,295442415.28809524,2002.0,2,62459404.0,62023950.0,70730651.0,71924711.0,69221493.0
26,33531501.132222224,295442415.28809524,2002.0,3,73626985.0,62459404.0,62023950.0,70730651.0,84228644.0
27,33531501.132222224,295442415.28809524,2002.0,4,69694547.0,73626985.0,62459404.0,62023950.0,82759261.0
28,33531501.132222224,295442415.28809524,2002.0,5,70193502.0,69694547.0,73626985.0,62459404.0,71924711.0
29,33531501.132222224,295442415.28809524,2002.0,6,65390258.0,70193502.0,69694547.0,73626985.0,70730651.0
30,33531501.132222224,295442415.28809524,2002.0,7,84103970.0,65390258.0,70193502.0,69694547.0,62023950.0
31,33531501.132222224,295442415.28809524,2002.0,8,91348734.0,84103970.0,65390258.0,70193502.0,62459404.0
32,33531501.132222224,295442415.28809524,2002.0,9,89503618.0,91348734.0,84103970.0,65390258.0,73626985.0
33,33531501.132222224,295442415.28809524,2002.0,10,86753087.0,89503618.0,91348734.0,84103970.0,69694547.0
34,33531501.132222224,295442415.28809524,2002.0,11,64925972.0,86753087.0,89503618.0,91348734.0,70193502.0
35,33531501.132222224,295442415.28809524,2002.0,12,84419002.0,64925972.0,86753087.0,89503618.0,65390258.0
36,33531501.132222224,295442415.28809524,2003.0,1,53140179.0,84419002.0,64925972.0,86753087.0,84103970.0
37,33531501.132222224,295442415.28809524,2003.0,2,52730525.0,53140179.0,84419002.0,64925972.0,91348734.0
38,33531501.132222224,295442415.28809524,2003.0,3,60429677.0,52730525.0,53140179.0,84419002.0,89503618.0
39,33531501.132222224,295442415.28809524,2003.0,4,58744343.0,60429677.0,52730525.0,53140179.0,86753087.0
40,33531501.132222224,295442415.28809524,2003.0,5,62084305.0,58744343.0,60429677.0,52730525.0,64925972.0
41,33531501.132222224,295442415.28809524,2003.0,6,78329872.0,62084305.0,58744343.0,60429677.0,84419002.0
42,33531501.132222224,295442415.28809524,2003.0,7,96628822.0,78329872.0,62084305.0,58744343.0,53140179.0
43,33531501.132222224,295442415.28809524,2003.0,8,84397497.0,96628822.0,78329872.0,62084305.0,52730525.0
44,33531501.132222224,295442415.28809524,2003.0,9,99637738.0,84397497.0,96628822.0,78329872.0,60429677.0
45,33531501.132222224,295442415.28809524,2003.0,10,95516128.0,99637738.0,84397497.0,96628822.0,58744343.0
