,Pais_vendedor,industria,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,América Latina,Industrias Manufactureras,555472258.0,618226121.0,1150422625.0,591400604.0,891942566.0,1069200854.0,1081303653.0,1779554858.0,2267599699.0,2200041561.0,2395915538.0,2606948230.0,2606843556.0,2999315267.0,2183406661.0,1851942746.0,1947152274.0,1285518450.0
1,América Latina,Industrias Extractivas,145326.0,53359.0,4215026.0,38020.0,2411449.0,3192916.0,3321487.0,3680256.0,4376050.0,6025775.0,6512712.0,5871257.0,10970669.0,3273802.0,5538007.0,13979230.0,4381910.0,1785091.0
2,América Latina,Agricultura y Silvicultura,25634757.0,21233866.0,12884870.0,18755958.0,19609191.0,48433124.0,60563572.0,85971190.0,89310799.0,64336821.0,73169311.0,113559633.0,215944115.0,255475049.0,95652841.0,77423551.0,63337093.0,115554190.0
3,América Latina,Servicios y Productos no Clasificados,9985562.0,4250805.0,2383938.0,4455407.0,2379342.0,16183984.0,4272258.0,97087804.0,75725191.0,57416421.0,95906757.0,96420096.0,50367752.0,68724112.0,58231152.0,81417597.0,67982987.0,17306931.0
4,América Latina,"Ganadería, Apicultura, Caza, Pesca",58563.0,0.0,0.0,50217.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,374330.0,0.0,0.0,0.0,2090.0,1810.0
5,América Latina,( Blank ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,186954470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Asia,Industrias Manufactureras,1710591986.0,2585627438.0,5475985694.0,2059448293.0,3293747962.0,4263450539.0,4999863400.0,5689126860.0,6097281997.0,5439852550.0,6679670588.0,7498848520.0,7398985401.0,7893115587.0,11654958142.0,12581380930.0,13453595691.0,8133321701.0
7,Asia,Industrias Extractivas,172953.0,6109.0,3832953.0,1132234.0,193252.0,302333.0,317467.0,213743.0,158353.0,243494.0,420109.0,545407.0,17732140.0,4715262.0,4893250.0,6761419.0,10824624.0,2963108.0
8,Asia,Agricultura y Silvicultura,1030643.0,1541126.0,1418119.0,979049.0,12531222.0,17122051.0,18546097.0,19164433.0,39451656.0,32141857.0,36271692.0,73645214.0,70389713.0,50484095.0,19859430.0,17036860.0,17704693.0,22410688.0
9,Asia,Servicios y Productos no Clasificados,100375720.0,10625855.0,18139108.0,14432456.0,7936065.0,133246813.0,17170184.0,23803695.0,53558919.0,52083798.0,63384459.0,100942488.0,72019667.0,133186046.0,57570828.0,96671952.0,63113923.0,48934040.0
10,Asia,"Ganadería, Apicultura, Caza, Pesca",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,0.0
11,Asia,( Blank ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,504893099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Europa,Industrias Manufactureras,1103824606.0,1757825477.0,1826986819.0,1760555309.0,1583984478.0,2567561499.0,2802830984.0,4358922082.0,5841024074.0,5642731052.0,6703853230.0,8287398868.0,7872257689.0,10212411728.0,7710425374.0,7449759318.0,7650670754.0,5340296993.0
13,Europa,Industrias Extractivas,331544.0,862280.0,1604575.0,2793860.0,1488328.0,3295878.0,704061.0,903487.0,925045.0,565806.0,5994763.0,8532415.0,2751755.0,2966803.0,9236357.0,10740935.0,9243392.0,3418066.0
14,Europa,Agricultura y Silvicultura,8234030.0,13060898.0,49573539.0,27902807.0,8265782.0,23687605.0,4087405.0,6401924.0,6952748.0,7715663.0,58028345.0,123010167.0,47900718.0,173863934.0,35703053.0,46289190.0,27868501.0,61188643.0
