,Pais_vendedor,industria,2000/Enero,2000/Febrero,2000/Marzo,2000/Abril,2000/Mayo,2000/Junio,2000/Julio,2000/Agosto,2000/Septiembre,2000/Octubre,2000/Noviembre,2000/Diciembre,2001/Enero,2001/Febrero,2001/Marzo,2001/Abril,2001/Mayo,2001/Junio,2001/Julio,2001/Agosto,2001/Septiembre,2001/Octubre,2001/Noviembre,2001/Diciembre,2002/Enero,2002/Febrero,2002/Marzo,2002/Abril,2002/Mayo,2002/Junio,2002/Julio,2002/Agosto,2002/Septiembre,2002/Octubre,2002/Noviembre,2002/Diciembre,2003/Enero,2003/Febrero,2003/Marzo,2003/Abril,2003/Mayo,2003/Junio,2003/Julio,2003/Agosto,2003/Septiembre,2003/Octubre,2003/Noviembre,2003/Diciembre,2004/Enero,2004/Febrero,2004/Marzo,2004/Abril,2004/Mayo,2004/Junio,2004/Julio,2004/Agosto,2004/Septiembre,2004/Octubre,2004/Noviembre,2004/Diciembre,2005/Enero,2005/Febrero,2005/Marzo,2005/Abril,2005/Mayo,2005/Junio,2005/Julio,2005/Agosto,2005/Septiembre,2005/Octubre,2005/Noviembre,2005/Diciembre,2006/Enero,2006/Febrero,2006/Marzo,2006/Abril,2006/Mayo,2006/Junio,2006/Julio,2006/Agosto,2006/Septiembre,2006/Octubre,2006/Noviembre,2006/Diciembre,2007/Enero,2007/Febrero,2007/Marzo,2007/Abril,2007/Mayo,2007/Junio,2007/Julio,2007/Agosto,2007/Septiembre,2007/Octubre,2007/Noviembre,2007/Diciembre,2008/Enero,2008/Febrero,2008/Marzo,2008/Abril,2008/Mayo,2008/Junio,2008/Julio,2008/Agosto,2008/Septiembre,2008/Octubre,2008/Noviembre,2008/Diciembre,2009/Enero,2009/Febrero,2009/Marzo,2009/Abril,2009/Mayo,2009/Junio,2009/Julio,2009/Agosto,2009/Septiembre,2009/Octubre,2009/Noviembre,2009/Diciembre,2010/Enero,2010/Febrero,2010/Marzo,2010/Abril,2010/Mayo,2010/Junio,2010/Julio,2010/Agosto,2010/Septiembre,2010/Octubre,2010/Noviembre,2010/Diciembre,2011/Enero,2011/Febrero,2011/Marzo,2011/Abril,2011/Mayo,2011/Junio,2011/Julio,2011/Agosto,2011/Septiembre,2011/Octubre,2011/Noviembre,2011/Diciembre,2012/Enero,2012/Febrero,2012/Marzo,2012/Abril,2012/Mayo,2012/Junio,2012/Julio,2012/Agosto,2012/Septiembre,2012/Octubre,2012/Noviembre,2012/Diciembre,2013/Enero,2013/Febrero,2013/Marzo,2013/Abril,2013/Mayo,2013/Junio,2013/Julio,2013/Agosto,2013/Septiembre,2013/Octubre,2013/Noviembre,2013/Diciembre,2014/Enero,2014/Febrero,2014/Marzo,2014/Abril,2014/Mayo,2014/Junio,2014/Julio,2014/Agosto,2014/Septiembre,2014/Octubre,2014/Noviembre,2014/Diciembre,2015/Enero,2015/Febrero,2015/Marzo,2015/Abril,2015/Mayo,2015/Junio,2015/Julio,2015/Agosto,2015/Septiembre,2015/Octubre,2015/Noviembre,2015/Diciembre,2016/Enero,2016/Febrero,2016/Marzo,2016/Abril,2016/Mayo,2016/Junio,2016/Julio,2016/Agosto,2016/Septiembre,2016/Octubre,2016/Noviembre,2016/Diciembre,2017/Enero,2017/Febrero,2017/Marzo,2017/Abril,2017/Mayo,2017/Junio,2017/Julio
0,América Latina,Industrias Manufactureras,30303804.0,21215828.0,31298113.0,33358374.0,67373766.0,58354363.0,47566573.0,51311091.0,36400806.0,50265853.0,59435550.0,68588145.0,57938134.0,46262851.0,48055653.0,49784064.0,45214985.0,49105659.0,45589735.0,49855900.0,38361331.0,57897392.0,65220179.0,64940239.0,94163049.0,99417244.0,88075618.0,110902607.0,104016188.0,97133436.0,119852208.0,116905932.0,105822789.0,88510929.0,78349179.0,47273455.0,46694167.0,40837044.0,43506526.0,42422261.0,42326146.0,43984048.0,47794592.0,46598094.0,53631270.0,78031871.0,49413318.0,56161284.0,70816305.0,62195805.0,100570403.0,88780551.0,58209013.0,64640043.0,85844371.0,76197069.0,67274917.0,61943896.0,80848426.0,74621759.0,61038636.0,51568336.0,73243138.0,66118516.0,68773677.0,82790980.0,104839583.0,117581911.0,94207455.0,116852240.0,121100488.0,111085999.0,82318605.0,90339504.0,86985485.0,73265798.0,88800412.0,99388049.0,83248872.0,100900279.0,90409916.0,112650151.0,89172641.0,83824073.0,173383931.0,137620346.0,167429080.0,0.0,185241784.0,160762005.0,161352545.0,158201706.0,160675528.0,193517921.0,155915638.0,125454535.0,142969123.0,185762144.0,175719537.0,167633559.0,188798991.0,173049095.0,216982902.0,192931794.0,185617274.0,216390035.0,195733516.0,226011900.0,169074744.0,120808281.0,126221839.0,107963658.0,147860317.0,168078616.0,122836145.0,137833053.0,203449972.0,416553277.0,239459585.0,239902189.0,164484754.0,191613145.0,224491370.0,224914547.0,244726000.0,222837407.0,189126656.0,188078795.0,161317628.0,193803969.0,178149419.0,212371990.0,162352495.0,192255648.0,229174586.0,279111700.0,271857054.0,188807409.0,194735384.0,215673476.0,255879964.0,179458966.0,231936781.0,205705039.0,179521864.0,225123869.0,196192275.0,202483667.0,217766254.0,216155808.0,178188740.0,266421225.0,222422759.0,214615694.0,256102092.0,231849593.0,210409395.0,199971713.0,212006120.0,267830634.0,305312833.0,239556271.0,269931521.0,238018264.0,265955898.0,248980770.0,248957691.0,292384369.0,175699354.0,174018843.0,201835711.0,180696407.0,206918302.0,228100702.0,194318094.0,167260380.0,129665136.0,180829300.0,177432478.0,166632076.0,123961510.0,139909666.0,303032201.0,262998464.0,138106612.0,127957782.0,123690625.0,118721027.0,136223383.0,117995385.0,120868106.0,138478193.0,133522068.0,146672736.0,148917364.0,127890003.0,172840193.0,168955795.0,213204462.0,151413168.0,135145030.0,197032253.0,178447140.0,173112296.0,195899079.0,183503634.0,152810474.0,207662307.0,185470521.0,191672524.0,168500082.0
1,América Latina,Industrias Extractivas,11784.0,3905.0,13294.0,6313.0,58568.0,13928.0,2357.0,5833.0,16943.0,5444.0,4466.0,2490.0,19462.0,1567.0,1847.0,15944.0,1884.0,1456.0,1591.0,2609.0,1672.0,1934.0,1794.0,1599.0,5.0,0.0,0.0,0.0,33656.0,91111.0,536973.0,2375953.0,30191.0,0.0,1147133.0,5.0,0.0,126.0,11137.0,7910.0,98.0,10722.0,2425.0,0.0,5574.0,0.0,0.0,28.0,188140.0,186740.0,182400.0,181040.0,451807.0,13008.0,244405.0,219200.0,249562.0,128578.0,363450.0,3118.0,260438.0,119.0,408983.0,230878.0,133660.0,253923.0,609120.0,126000.0,267246.0,140000.0,392150.0,370400.0,361800.0,147000.0,324400.0,0.0,290901.0,365600.0,431280.0,562344.0,10598.0,599146.0,131098.0,97320.0,466027.0,176880.0,178980.0,0.0,530181.0,457010.0,457001.0,420833.0,310426.0,7855.0,675060.0,2.0,655904.0,563530.0,23655.0,197649.0,247918.0,573111.0,409498.0,203452.0,204099.0,764818.0,516032.0,16383.0,27035.0,96973.0,1328482.0,1031390.0,641057.0,546778.0,598081.0,154881.0,812384.0,111027.0,273476.0,404212.0,144756.0,952593.0,561207.0,145775.0,261958.0,292034.0,859162.0,973867.0,1167848.0,305790.0,128575.0,719147.0,590208.0,507742.0,601283.0,199175.0,146561.0,1040960.0,934957.0,390146.0,664340.0,158842.0,257975.0,379072.0,371374.0,75034.0,320585.0,831202.0,881153.0,1221126.0,1307812.0,2376047.0,1474529.0,1769702.0,104975.0,237132.0,228164.0,863924.0,98100.0,12730.0,291730.0,697200.0,402420.0,476071.0,75081.0,35040.0,37707.0,55635.0,5239.0,1013454.0,49600.0,11811.0,4543.0,206211.0,209999.0,627515.0,47065.0,583761.0,1958087.0,820724.0,22467.0,3879799.0,2109869.0,53979.0,497883.0,2056252.0,2341176.0,1538518.0,818052.0,288651.0,334820.0,37763.0,58921.0,152841.0,147291.0,128104.0,40884.0,883591.0,1136920.0,1052825.0,354837.0,81955.0,185732.0,158012.0,57106.0,203345.0,109154.0,161584.0,573661.0,354813.0,325428.0
2,América Latina,Agricultura y Silvicultura,2106963.0,1610707.0,1589039.0,2305238.0,1352984.0,1621238.0,495612.0,1742965.0,3209655.0,2751565.0,3914674.0,2934117.0,1878267.0,5522663.0,4012482.0,3452244.0,1849019.0,993795.0,1025942.0,840475.0,506626.0,550553.0,35280.0,566522.0,691095.0,894919.0,971472.0,776596.0,1169393.0,542802.0,390025.0,338401.0,188832.0,3342268.0,757217.0,2821853.0,750377.0,403445.0,326524.0,556409.0,7494257.0,581488.0,556564.0,3335736.0,576578.0,562121.0,2968217.0,644244.0,1099104.0,961617.0,2529873.0,1565835.0,1280724.0,1230807.0,2157530.0,1864247.0,473443.0,1199771.0,1207059.0,4039180.0,4830425.0,4521081.0,5970154.0,4388257.0,3752264.0,3072079.0,2242434.0,3968168.0,2559615.0,1877740.0,2971822.0,8279089.0,4035506.0,4413877.0,7022927.0,11029795.0,2411999.0,4429355.0,2351327.0,3718792.0,2041097.0,3760251.0,4931614.0,10417042.0,3321728.0,6355719.0,9289473.0,0.0,10197766.0,9853433.0,9904328.0,3772370.0,5441685.0,11297094.0,8381859.0,8155738.0,9674042.0,10680158.0,5032526.0,10943766.0,19553669.0,4074372.0,10786278.0,5783033.0,5789089.0,2089918.0,1598273.0,3305677.0,7652517.0,3577294.0,4385189.0,5553984.0,4443354.0,9774578.0,5050637.0,3556767.0,10125010.0,4491032.0,2680474.0,3045994.0,6065646.0,6756754.0,4907898.0,11408820.0,7155860.0,4726111.0,4186821.0,3624267.0,4030642.0,9094767.0,4668170.0,6543564.0,6934427.0,5484708.0,8602459.0,5876197.0,12938952.0,10337054.0,7016384.0,7878519.0,15479087.0,5983477.0,16755599.0,10272785.0,6526047.0,9342113.0,18805355.0,30427815.0,36957890.0,41244188.0,9903633.0,27973133.0,10080613.0,10036157.0,6720097.0,7927087.0,9829766.0,10452369.0,5520272.0,29108098.0,44617863.0,32519835.0,44497037.0,25283089.0,25713403.0,8889830.0,6757185.0,12286303.0,7409669.0,3297576.0,17437525.0,4452632.0,9757688.0,8824207.0,11304388.0,14477106.0,3009855.0,9381180.0,1914345.0,4386674.0,14251698.0,8084797.0,3527480.0,4417427.0,5613487.0,4736271.0,3156828.0,3037598.0,3392866.0,7379388.0,2857185.0,16968531.0,4983855.0,8154377.0,7691849.0,4530479.0,4233197.0,5169352.0,5686495.0,4529588.0,4685332.0,3944364.0,3442504.0,6285703.0,27949504.0,25758793.0,6654383.0,5189143.0,28176540.0,11347933.0,10477896.0
3,América Latina,Servicios y Productos no Clasificados,146526.0,238749.0,2789631.0,1450155.0,299557.0,1080203.0,1116061.0,226860.0,136045.0,124334.0,120860.0,2256584.0,84798.0,36478.0,26288.0,75070.0,147028.0,68300.0,253818.0,2785350.0,669624.0,4527.0,90704.0,8819.0,95043.0,65754.0,9212.0,1278793.0,84408.0,19536.0,28267.0,211366.0,48444.0,142962.0,207243.0,192915.0,41284.0,78505.0,594975.0,286821.0,877022.0,272856.0,592401.0,318386.0,366010.0,611061.0,117475.0,298611.0,588315.0,239119.0,155399.0,106819.0,192775.0,122568.0,118892.0,198655.0,177015.0,171628.0,184550.0,123605.0,2890907.0,11430021.0,325627.0,111499.0,123170.0,67689.0,84782.0,341665.0,275131.0,258001.0,187349.0,88149.0,297868.0,244626.0,1982230.0,367346.0,266929.0,427982.0,977.0,158258.0,125781.0,351257.0,41162.0,7847.0,627.0,88306.0,9069274.0,0.0,25582723.0,374658.0,581156.0,30026806.0,3886755.0,7514186.0,13851177.0,6112145.0,10968601.0,2373448.0,17106287.0,5807352.0,3321030.0,7382883.0,5763706.0,4298611.0,3627223.0,3448430.0,3379923.0,8247707.0,3208772.0,1686183.0,1847698.0,4625099.0,4946721.0,4223350.0,6907295.0,7168402.0,9007804.0,6974587.0,3393976.0,3426538.0,7652801.0,2079760.0,3106925.0,6542780.0,8546868.0,5911155.0,6881220.0,10777194.0,6049684.0,8152693.0,19968855.0,10236829.0,1918579.0,2746592.0,3771232.0,3845267.0,6492555.0,15602809.0,12131618.0,12621022.0,11371760.0,6193120.0,7642955.0,12082593.0,4765062.0,2242906.0,1549896.0,2776493.0,2928373.0,4257528.0,4931136.0,7046271.0,4950636.0,4371559.0,3779785.0,6768111.0,3875239.0,3387953.0,3316037.0,5507112.0,6283831.0,5266283.0,24149886.0,5139752.0,2564113.0,5064561.0,1439163.0,2730194.0,7413906.0,5952181.0,1189623.0,2792668.0,6834853.0,8656268.0,8937961.0,6396711.0,2030425.0,2016876.0,5093647.0,916062.0,251829.0,525449.0,612040.0,9283979.0,9625042.0,11085859.0,4843285.0,4945561.0,6243352.0,3467300.0,3904687.0,26629244.0,4428471.0,24198682.0,1093449.0,2578801.0,2350148.0,3640067.0,3853286.0,4872866.0,4078372.0,2525429.0,6734467.0,7628974.0,1447175.0,3539698.0,2238425.0,3655011.0,1631675.0,2450288.0,2344667.0
4,América Latina,"Ganadería, Apicultura, Caza, Pesca",80.0,0.0,0.0,0.0,0.0,31053.0,0.0,0.0,27430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26617.0,23600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,230.0,250.0,180.0,480.0,350.0,130.0,100.0,60.0,130.0,80.0,60.0,460.0,150.0,430.0,30.0,0.0,680.0
5,América Latina,( Blank ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186954470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Asia,Industrias Manufactureras,126150334.0,80049770.0,107243132.0,127048969.0,147467840.0,150418515.0,146757452.0,161211039.0,141515133.0,136199226.0,133886394.0,252644142.0,187652121.0,176052321.0,171587687.0,162770361.0,168140742.0,211600326.0,223931891.0,223899529.0,256763760.0,248801116.0,250624373.0,303803228.0,480460746.0,470428908.0,509580039.0,532298371.0,667606819.0,574313647.0,639836148.0,552733330.0,491450228.0,186453854.0,174033721.0,196789890.0,116197887.0,125481292.0,156775797.0,166221761.0,183910185.0,194318552.0,210228419.0,152169416.0,182566393.0,181618114.0,175440538.0,214519899.0,190504140.0,205107600.0,256324945.0,259380333.0,260012180.0,269534709.0,260036502.0,298723889.0,283046977.0,315337699.0,384011819.0,311727280.0,303136387.0,296600538.0,296920986.0,339007272.0,319107984.0,331993982.0,319778022.0,408961782.0,397573932.0,374710745.0,414893601.0,460765688.0,361794704.0,320318969.0,407627592.0,332235545.0,410181536.0,444157970.0,397238354.0,419386210.0,455557375.0,502711269.0,513556197.0,435098205.0,532877362.0,465314065.0,518689237.0,0.0,518310666.0,556844316.0,566946960.0,529477837.0,465130319.0,495863125.0,516012167.0,523661381.0,480794633.0,468564990.0,469945137.0,586690931.0,560246591.0,538690475.0,564358597.0,480568765.0,554210450.0,432280610.0,471687508.0,489243920.0,338899211.0,304342068.0,360415639.0,329846758.0,354790255.0,509272746.0,434972253.0,462623624.0,548790464.0,523514505.0,604393839.0,667991918.0,495529337.0,504814894.0,597186113.0,494634298.0,561186112.0,590955276.0,531084855.0,599378209.0,621806946.0,540202537.0,586722312.0,556170642.0,509632362.0,556243662.0,536501477.0,472416137.0,599334863.0,632184980.0,655787067.0,845748025.0,653187424.0,649630146.0,772689087.0,615494154.0,624549449.0,521273953.0,607866094.0,563433242.0,670163840.0,678768915.0,652030918.0,689482620.0,562724217.0,640118746.0,604610153.0,583964189.0,593736547.0,580085175.0,533538017.0,634525967.0,666585866.0,675250267.0,729901009.0,762892623.0,699081823.0,692157288.0,638210640.0,687151396.0,815665105.0,783992606.0,962742164.0,995481610.0,966434144.0,920992808.0,1018363124.0,1087956910.0,1090711957.0,1004140472.0,1003023129.0,1005454879.0,912620718.0,914676812.0,970073474.0,1047317854.0,1033574744.0,1162915825.0,1166986130.0,1081363727.0,1258417274.0,1103175143.0,1042850016.0,887409999.0,778561454.0,933109480.0,1108058530.0,1142793852.0,1142840805.0,1245485238.0,1076793614.0,1287697953.0,1261122230.0,1291504962.0,1235435130.0,950193238.0,998953741.0,1022347096.0,1125449884.0,1150878454.0,1313764852.0,1372016511.0,1149911651.0
7,Asia,Industrias Extractivas,0.0,0.0,0.0,26.0,88.0,0.0,47147.0,125692.0,0.0,0.0,0.0,0.0,51.0,5948.0,13.0,5.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226923.0,243360.0,670756.0,114066.0,653166.0,311441.0,222590.0,1304135.0,83206.0,0.0,3312.0,0.0,3300.0,52046.0,0.0,3300.0,16006.0,179807.0,154936.0,193514.0,158787.0,11139.0,181351.0,178048.0,6400.0,57806.0,0.0,0.0,3.0,6026.0,60446.0,8706.0,41255.0,817.0,11786.0,7.0,65058.0,3888.0,135.0,62787.0,3700.0,92778.0,507.0,22585.0,162.0,50732.0,0.0,0.0,58622.0,4668.0,0.0,22422.0,55992.0,58405.0,25798.0,19833.0,6091.0,17594.0,610.0,47432.0,1340.0,57438.0,1050.0,0.0,4748.0,45136.0,24542.0,16927.0,32401.0,5709.0,182.0,24270.0,284.0,936.0,28483.0,2431.0,1184.0,17199.0,0.0,36600.0,19074.0,21603.0,30529.0,30.0,7541.0,18704.0,40439.0,7850.0,7848.0,36572.0,39393.0,2.0,16156.0,12498.0,31824.0,24668.0,33018.0,19065.0,84782.0,63677.0,27472.0,8743.0,14.0,78913.0,2.0,15896.0,44800.0,43729.0,10751.0,60131.0,16741.0,0.0,125530.0,63999.0,17090.0,90721.0,59858.0,133.0,38966.0,61484.0,37502.0,84823.0,29084.0,23534.0,70443.0,581206.0,65232.0,35141.0,82884.0,1140448.0,1631790.0,13950055.0,325150.0,1496678.0,110296.0,1324556.0,205382.0,141952.0,895436.0,29958.0,154865.0,6761.0,23313.0,915.0,26375.0,565467.0,1772835.0,56130.0,75720.0,27000.0,317805.0,10358.0,408919.0,3306.0,38546.0,1590790.0,33299.0,80859.0,592970.0,109321.0,707670.0,230029.0,10306.0,1681830.0,908544.0,559299.0,826260.0,1021033.0,257457.0,6619.0,12045.0,14023.0,14905.0,3884226.0,1574641.0,2396896.0,27706.0,39785.0,7354.0,2588968.0,2837108.0,22491.0,8407.0,8851.0,80135.0,6106.0,10.0
8,Asia,Agricultura y Silvicultura,154172.0,145357.0,62872.0,92797.0,95782.0,109746.0,0.0,0.0,162926.0,50303.0,156688.0,0.0,40010.0,24335.0,70670.0,166919.0,139900.0,126926.0,176811.0,227965.0,189884.0,174406.0,203300.0,0.0,285338.0,274753.0,78451.0,130074.0,88762.0,35408.0,189284.0,83006.0,92618.0,0.0,10969.0,149453.0,139354.0,0.0,76505.0,90744.0,190060.0,176395.0,151946.0,34604.0,34604.0,58926.0,0.0,25909.0,846890.0,1577186.0,2904131.0,1491789.0,895861.0,802266.0,610129.0,1727262.0,911984.0,453046.0,261780.0,48896.0,1680818.0,2128602.0,2056023.0,1045464.0,1093644.0,1235089.0,826167.0,891889.0,1046541.0,1324926.0,1646464.0,2146426.0,1346594.0,781027.0,1270940.0,1708048.0,1696232.0,1706397.0,1872337.0,2483150.0,1614267.0,758286.0,1369188.0,1939634.0,2147358.0,2113402.0,2277830.0,0.0,1847538.0,1666831.0,2271443.0,1056194.0,1047650.0,1264776.0,1540055.0,1931357.0,2891077.0,5061416.0,4705608.0,4853398.0,4400342.0,3915006.0,3467365.0,2700409.0,2387695.0,2332514.0,1450715.0,1286114.0,3010379.0,1578018.0,2596359.0,2650572.0,2062882.0,3793305.0,2124189.0,1448440.0,2929684.0,3215450.0,2991934.0,3740644.0,4028722.0,4439179.0,3285695.0,4453909.0,2916753.0,2716999.0,2816101.0,2092803.0,1896426.0,2288171.0,2741919.0,2595016.0,4997571.0,4469428.0,5250231.0,5945688.0,5943216.0,4160414.0,3439551.0,3996091.0,19892518.0,3182254.0,5814150.0,6554109.0,6906947.0,6452538.0,11460598.0,11778094.0,7573442.0,3697000.0,4293228.0,4005260.0,2813835.0,4415834.0,4024787.0,2968162.0,4483919.0,3461091.0,4060892.0,5546317.0,6309887.0,3055811.0,3925345.0,4628161.0,3573048.0,4015509.0,4013317.0,3410808.0,1193354.0,770337.0,1989043.0,1964894.0,2052995.0,2060078.0,1628050.0,1305312.0,1298458.0,2314090.0,1984179.0,1298641.0,1389065.0,1659381.0,3275604.0,986570.0,1660699.0,1573670.0,866842.0,811384.0,1043626.0,1107259.0,1339109.0,1323653.0,1338623.0,1844388.0,1067305.0,1147191.0,1043709.0,1000544.0,1403397.0,1294733.0,1267773.0,2600175.0,1910697.0,1786164.0,1921270.0,2683721.0,3973859.0,4191510.0,3467150.0,2877473.0,3295708.0
9,Asia,Servicios y Productos no Clasificados,6441815.0,3339454.0,15984092.0,9999995.0,10492719.0,3903141.0,6601557.0,9561609.0,5429429.0,6770362.0,8093966.0,13757581.0,2191279.0,4746676.0,165840.0,68132.0,80728.0,77712.0,89730.0,44613.0,142594.0,26287.0,60106.0,2932156.0,106035.0,211336.0,950593.0,478165.0,774184.0,4503174.0,2443613.0,1014627.0,5500323.0,129574.0,1635922.0,391562.0,1311858.0,1001999.0,1725812.0,453784.0,1164424.0,1229269.0,926738.0,1881313.0,1426847.0,1456882.0,1534720.0,318808.0,1050624.0,791279.0,960483.0,463902.0,645955.0,1856063.0,1064121.0,325976.0,432206.0,238246.0,36039.0,71173.0,5941116.0,33912021.0,35681270.0,27743482.0,25988177.0,501210.0,282599.0,275959.0,392120.0,321085.0,625409.0,1582372.0,1244077.0,644395.0,916525.0,349430.0,1219747.0,1618426.0,2954409.0,1165141.0,2489745.0,1054339.0,1842048.0,1671915.0,1163758.0,854611.0,1600204.0,0.0,2140528.0,1496529.0,2311050.0,2398731.0,4234689.0,3945744.0,2635918.0,1021947.0,2750961.0,1694497.0,2656786.0,1133649.0,2225702.0,3652127.0,5794613.0,6013111.0,6129469.0,6439479.0,7624850.0,7443688.0,5482479.0,4236794.0,6905323.0,3903543.0,3705868.0,3395083.0,3886367.0,3339639.0,4338406.0,5170914.0,3449550.0,4269841.0,3786952.0,5339656.0,5489812.0,3281578.0,4670986.0,6445228.0,7869195.0,6500134.0,5624913.0,6442880.0,4100002.0,3833141.0,5045339.0,4005002.0,7331171.0,6217402.0,8883752.0,10912995.0,11445646.0,8092002.0,10709834.0,8965625.0,11995796.0,7337952.0,4879207.0,3682463.0,2746416.0,4521347.0,4795106.0,6681422.0,5286958.0,4728383.0,8827364.0,10283537.0,8459110.0,7128373.0,5718888.0,6738366.0,5886621.0,8189187.0,8487359.0,37813446.0,14774922.0,11234003.0,10833710.0,12708750.0,7909281.0,2891544.0,4174580.0,3340220.0,6426191.0,4497928.0,3380122.0,3256717.0,3997785.0,5198968.0,4892371.0,6689042.0,4682553.0,7034387.0,6270321.0,5177891.0,6647818.0,9494115.0,6896793.0,6733972.0,8458471.0,8483548.0,9454048.0,9774118.0,10830942.0,8449975.0,3576142.0,3538238.0,3402093.0,4507827.0,4798610.0,4628136.0,4611830.0,4889509.0,5301319.0,8126103.0,9190689.0,6543476.0,4657588.0,5931616.0,5991431.0,5810103.0,7918740.0,12735878.0,5888741.0
