,Pais_comprador,Industria,Año,Mes,Monto
0,América Latina,Industrias Manufactureras,2000,Enero,45624927.0
1,América Latina,Industrias Manufactureras,2000,Febrero,38402717.0
2,América Latina,Industrias Manufactureras,2000,Marzo,45714515.0
3,América Latina,Industrias Manufactureras,2000,Abril,53314410.0
4,América Latina,Industrias Manufactureras,2000,Mayo,68750896.0
5,América Latina,Industrias Manufactureras,2000,Junio,67485328.0
6,América Latina,Industrias Manufactureras,2000,Julio,62364404.0
7,América Latina,Industrias Manufactureras,2000,Agosto,60669012.0
8,América Latina,Industrias Manufactureras,2000,Septiembre,65432673.0
9,América Latina,Industrias Manufactureras,2000,Octubre,55449279.0
10,América Latina,Industrias Manufactureras,2000,Noviembre,64030031.0
11,América Latina,Industrias Manufactureras,2000,Diciembre,69420372.0
12,América Latina,Industrias Manufactureras,2001,Enero,60262319.0
13,América Latina,Industrias Manufactureras,2001,Febrero,67522980.0
14,América Latina,Industrias Manufactureras,2001,Marzo,86290892.0
15,América Latina,Industrias Manufactureras,2001,Abril,77937911.0
16,América Latina,Industrias Manufactureras,2001,Mayo,85108588.0
17,América Latina,Industrias Manufactureras,2001,Junio,73835368.0
18,América Latina,Industrias Manufactureras,2001,Julio,78546337.0
19,América Latina,Industrias Manufactureras,2001,Agosto,69221493.0
20,América Latina,Industrias Manufactureras,2001,Septiembre,84228644.0
21,América Latina,Industrias Manufactureras,2001,Octubre,82759261.0
22,América Latina,Industrias Manufactureras,2001,Noviembre,71924711.0
23,América Latina,Industrias Manufactureras,2001,Diciembre,70730651.0
24,América Latina,Industrias Manufactureras,2002,Enero,62023950.0
25,América Latina,Industrias Manufactureras,2002,Febrero,62459404.0
26,América Latina,Industrias Manufactureras,2002,Marzo,73626985.0
27,América Latina,Industrias Manufactureras,2002,Abril,69694547.0
28,América Latina,Industrias Manufactureras,2002,Mayo,70193502.0
29,América Latina,Industrias Manufactureras,2002,Junio,65390258.0
30,América Latina,Industrias Manufactureras,2002,Julio,84103970.0
31,América Latina,Industrias Manufactureras,2002,Agosto,91348734.0
32,América Latina,Industrias Manufactureras,2002,Septiembre,89503618.0
33,América Latina,Industrias Manufactureras,2002,Octubre,86753087.0
34,América Latina,Industrias Manufactureras,2002,Noviembre,64925972.0
35,América Latina,Industrias Manufactureras,2002,Diciembre,84419002.0
36,América Latina,Industrias Manufactureras,2003,Enero,53140179.0
37,América Latina,Industrias Manufactureras,2003,Febrero,52730525.0
38,América Latina,Industrias Manufactureras,2003,Marzo,60429677.0
39,América Latina,Industrias Manufactureras,2003,Abril,58744343.0
40,América Latina,Industrias Manufactureras,2003,Mayo,62084305.0
41,América Latina,Industrias Manufactureras,2003,Junio,78329872.0
42,América Latina,Industrias Manufactureras,2003,Julio,96628822.0
43,América Latina,Industrias Manufactureras,2003,Agosto,84397497.0
44,América Latina,Industrias Manufactureras,2003,Septiembre,99637738.0
45,América Latina,Industrias Manufactureras,2003,Octubre,95516128.0
46,América Latina,Industrias Manufactureras,2003,Noviembre,139718113.0
47,América Latina,Industrias Manufactureras,2003,Diciembre,87220366.0
48,América Latina,Industrias Manufactureras,2004,Enero,54292776.0
49,América Latina,Industrias Manufactureras,2004,Febrero,62814703.0
50,América Latina,Industrias Manufactureras,2004,Marzo,67300724.0
51,América Latina,Industrias Manufactureras,2004,Abril,65268285.0
52,América Latina,Industrias Manufactureras,2004,Mayo,64595511.0
53,América Latina,Industrias Manufactureras,2004,Junio,62128795.0
54,América Latina,Industrias Manufactureras,2004,Julio,56833656.0
55,América Latina,Industrias Manufactureras,2004,Agosto,70327842.0
56,América Latina,Industrias Manufactureras,2004,Septiembre,61219999.0
57,América Latina,Industrias Manufactureras,2004,Octubre,66213140.0
58,América Latina,Industrias Manufactureras,2004,Noviembre,81508155.0
59,América Latina,Industrias Manufactureras,2004,Diciembre,65054509.0
60,América Latina,Industrias Manufactureras,2005,Enero,58285129.0
61,América Latina,Industrias Manufactureras,2005,Febrero,81260433.0
62,América Latina,Industrias Manufactureras,2005,Marzo,68131575.0
63,América Latina,Industrias Manufactureras,2005,Abril,74255828.0
64,América Latina,Industrias Manufactureras,2005,Mayo,72027599.0
65,América Latina,Industrias Manufactureras,2005,Junio,72909762.0
66,América Latina,Industrias Manufactureras,2005,Julio,80570266.0
67,América Latina,Industrias Manufactureras,2005,Agosto,77186708.0
68,América Latina,Industrias Manufactureras,2005,Septiembre,83873893.0
69,América Latina,Industrias Manufactureras,2005,Octubre,76430440.0
70,América Latina,Industrias Manufactureras,2005,Noviembre,103148390.0
71,América Latina,Industrias Manufactureras,2005,Diciembre,80411008.0
72,América Latina,Industrias Manufactureras,2006,Enero,76076809.0
