,Pais_vendedor,industria,Año,Mes,Monto
0,América Latina,Industrias Manufactureras,2000,Enero,30303804.0
1,América Latina,Industrias Manufactureras,2000,Febrero,21215828.0
2,América Latina,Industrias Manufactureras,2000,Marzo,31298113.0
3,América Latina,Industrias Manufactureras,2000,Abril,33358374.0
4,América Latina,Industrias Manufactureras,2000,Mayo,67373766.0
5,América Latina,Industrias Manufactureras,2000,Junio,58354363.0
6,América Latina,Industrias Manufactureras,2000,Julio,47566573.0
7,América Latina,Industrias Manufactureras,2000,Agosto,51311091.0
8,América Latina,Industrias Manufactureras,2000,Septiembre,36400806.0
9,América Latina,Industrias Manufactureras,2000,Octubre,50265853.0
10,América Latina,Industrias Manufactureras,2000,Noviembre,59435550.0
11,América Latina,Industrias Manufactureras,2000,Diciembre,68588145.0
12,América Latina,Industrias Manufactureras,2001,Enero,57938134.0
13,América Latina,Industrias Manufactureras,2001,Febrero,46262851.0
14,América Latina,Industrias Manufactureras,2001,Marzo,48055653.0
15,América Latina,Industrias Manufactureras,2001,Abril,49784064.0
16,América Latina,Industrias Manufactureras,2001,Mayo,45214985.0
17,América Latina,Industrias Manufactureras,2001,Junio,49105659.0
18,América Latina,Industrias Manufactureras,2001,Julio,45589735.0
19,América Latina,Industrias Manufactureras,2001,Agosto,49855900.0
20,América Latina,Industrias Manufactureras,2001,Septiembre,38361331.0
21,América Latina,Industrias Manufactureras,2001,Octubre,57897392.0
22,América Latina,Industrias Manufactureras,2001,Noviembre,65220179.0
23,América Latina,Industrias Manufactureras,2001,Diciembre,64940239.0
24,América Latina,Industrias Manufactureras,2002,Enero,94163049.0
25,América Latina,Industrias Manufactureras,2002,Febrero,99417244.0
26,América Latina,Industrias Manufactureras,2002,Marzo,88075618.0
27,América Latina,Industrias Manufactureras,2002,Abril,110902607.0
28,América Latina,Industrias Manufactureras,2002,Mayo,104016188.0
29,América Latina,Industrias Manufactureras,2002,Junio,97133436.0
30,América Latina,Industrias Manufactureras,2002,Julio,119852208.0
31,América Latina,Industrias Manufactureras,2002,Agosto,116905932.0
32,América Latina,Industrias Manufactureras,2002,Septiembre,105822789.0
33,América Latina,Industrias Manufactureras,2002,Octubre,88510929.0
34,América Latina,Industrias Manufactureras,2002,Noviembre,78349179.0
35,América Latina,Industrias Manufactureras,2002,Diciembre,47273455.0
36,América Latina,Industrias Manufactureras,2003,Enero,46694167.0
37,América Latina,Industrias Manufactureras,2003,Febrero,40837044.0
38,América Latina,Industrias Manufactureras,2003,Marzo,43506526.0
39,América Latina,Industrias Manufactureras,2003,Abril,42422261.0
40,América Latina,Industrias Manufactureras,2003,Mayo,42326146.0
41,América Latina,Industrias Manufactureras,2003,Junio,43984048.0
42,América Latina,Industrias Manufactureras,2003,Julio,47794592.0
43,América Latina,Industrias Manufactureras,2003,Agosto,46598094.0
44,América Latina,Industrias Manufactureras,2003,Septiembre,53631270.0
45,América Latina,Industrias Manufactureras,2003,Octubre,78031871.0
46,América Latina,Industrias Manufactureras,2003,Noviembre,49413318.0
47,América Latina,Industrias Manufactureras,2003,Diciembre,56161284.0
48,América Latina,Industrias Manufactureras,2004,Enero,70816305.0
49,América Latina,Industrias Manufactureras,2004,Febrero,62195805.0
50,América Latina,Industrias Manufactureras,2004,Marzo,100570403.0
51,América Latina,Industrias Manufactureras,2004,Abril,88780551.0
52,América Latina,Industrias Manufactureras,2004,Mayo,58209013.0
53,América Latina,Industrias Manufactureras,2004,Junio,64640043.0
54,América Latina,Industrias Manufactureras,2004,Julio,85844371.0
55,América Latina,Industrias Manufactureras,2004,Agosto,76197069.0
56,América Latina,Industrias Manufactureras,2004,Septiembre,67274917.0
57,América Latina,Industrias Manufactureras,2004,Octubre,61943896.0
58,América Latina,Industrias Manufactureras,2004,Noviembre,80848426.0
59,América Latina,Industrias Manufactureras,2004,Diciembre,74621759.0
60,América Latina,Industrias Manufactureras,2005,Enero,61038636.0
61,América Latina,Industrias Manufactureras,2005,Febrero,51568336.0
62,América Latina,Industrias Manufactureras,2005,Marzo,73243138.0
63,América Latina,Industrias Manufactureras,2005,Abril,66118516.0
64,América Latina,Industrias Manufactureras,2005,Mayo,68773677.0
65,América Latina,Industrias Manufactureras,2005,Junio,82790980.0
66,América Latina,Industrias Manufactureras,2005,Julio,104839583.0
67,América Latina,Industrias Manufactureras,2005,Agosto,117581911.0
68,América Latina,Industrias Manufactureras,2005,Septiembre,94207455.0
69,América Latina,Industrias Manufactureras,2005,Octubre,116852240.0
70,América Latina,Industrias Manufactureras,2005,Noviembre,121100488.0
71,América Latina,Industrias Manufactureras,2005,Diciembre,111085999.0
72,América Latina,Industrias Manufactureras,2006,Enero,82318605.0
73,América Latina,Industrias Manufactureras,2006,Febrero,90339504.0
74,América Latina,Industrias Manufactureras,2006,Marzo,86985485.0
75,América Latina,Industrias Manufactureras,2006,Abril,73265798.0
76,América Latina,Industrias Manufactureras,2006,Mayo,88800412.0
77,América Latina,Industrias Manufactureras,2006,Junio,99388049.0
78,América Latina,Industrias Manufactureras,2006,Julio,83248872.0
79,América Latina,Industrias Manufactureras,2006,Agosto,100900279.0
80,América Latina,Industrias Manufactureras,2006,Septiembre,90409916.0
81,América Latina,Industrias Manufactureras,2006,Octubre,112650151.0
82,América Latina,Industrias Manufactureras,2006,Noviembre,89172641.0
83,América Latina,Industrias Manufactureras,2006,Diciembre,83824073.0
84,América Latina,Industrias Manufactureras,2007,Enero,173383931.0
85,América Latina,Industrias Manufactureras,2007,Febrero,137620346.0
86,América Latina,Industrias Manufactureras,2007,Marzo,167429080.0
87,América Latina,Industrias Manufactureras,2007,Abril,186954470.0
88,América Latina,Industrias Manufactureras,2007,Mayo,185241784.0
89,América Latina,Industrias Manufactureras,2007,Junio,160762005.0
90,América Latina,Industrias Manufactureras,2007,Julio,161352545.0
91,América Latina,Industrias Manufactureras,2007,Agosto,158201706.0
92,América Latina,Industrias Manufactureras,2007,Septiembre,160675528.0
93,América Latina,Industrias Manufactureras,2007,Octubre,193517921.0
94,América Latina,Industrias Manufactureras,2007,Noviembre,155915638.0
95,América Latina,Industrias Manufactureras,2007,Diciembre,125454535.0
96,América Latina,Industrias Manufactureras,2008,Enero,142969123.0
97,América Latina,Industrias Manufactureras,2008,Febrero,185762144.0
98,América Latina,Industrias Manufactureras,2008,Marzo,175719537.0
99,América Latina,Industrias Manufactureras,2008,Abril,167633559.0
100,América Latina,Industrias Manufactureras,2008,Mayo,188798991.0
101,América Latina,Industrias Manufactureras,2008,Junio,173049095.0
102,América Latina,Industrias Manufactureras,2008,Julio,216982902.0
103,América Latina,Industrias Manufactureras,2008,Agosto,192931794.0
104,América Latina,Industrias Manufactureras,2008,Septiembre,185617274.0
105,América Latina,Industrias Manufactureras,2008,Octubre,216390035.0
106,América Latina,Industrias Manufactureras,2008,Noviembre,195733516.0
107,América Latina,Industrias Manufactureras,2008,Diciembre,226011900.0
108,América Latina,Industrias Manufactureras,2009,Enero,169074744.0
109,América Latina,Industrias Manufactureras,2009,Febrero,120808281.0
110,América Latina,Industrias Manufactureras,2009,Marzo,126221839.0
111,América Latina,Industrias Manufactureras,2009,Abril,107963658.0
112,América Latina,Industrias Manufactureras,2009,Mayo,147860317.0
113,América Latina,Industrias Manufactureras,2009,Junio,168078616.0
114,América Latina,Industrias Manufactureras,2009,Julio,122836145.0
115,América Latina,Industrias Manufactureras,2009,Agosto,137833053.0
116,América Latina,Industrias Manufactureras,2009,Septiembre,203449972.0
117,América Latina,Industrias Manufactureras,2009,Octubre,416553277.0
118,América Latina,Industrias Manufactureras,2009,Noviembre,239459585.0
119,América Latina,Industrias Manufactureras,2009,Diciembre,239902189.0
120,América Latina,Industrias Manufactureras,2010,Enero,164484754.0
121,América Latina,Industrias Manufactureras,2010,Febrero,191613145.0
122,América Latina,Industrias Manufactureras,2010,Marzo,224491370.0
123,América Latina,Industrias Manufactureras,2010,Abril,224914547.0
