Fecha,Hora ,CO,NO2,O3,PM10,SO2
01/01/2015,0:00:00,0.567,0.00647,0.02703,,0.00102
01/01/2015,1:00:00,0.588,0.0181,0.0176,7.31,0.00207
01/01/2015,2:00:00,1.139,0.02767,0.01062,14.6,0.00197
01/01/2015,3:00:00,1.605,0.0369,0.00155,40.18,0.002
01/01/2015,4:00:00,1.648,0.03345,0.00137,52.64,0.002
01/01/2015,5:00:00,1.822,0.03215,0.00137,52.89,0.002
01/01/2015,6:00:00,2.258,0.03062,0.00217,58.42,0.00217
01/01/2015,7:00:00,2.235,0.03053,0.00178,65.8,0.00232
01/01/2015,8:00:00,1.552,0.02822,0.005,52.96,0.00217
01/01/2015,9:00:00,1.334,0.03922,0.01635,45.84,0.00233
01/01/2015,10:00:00,1.041,0.04383,0.017,67.3,0.00447
01/01/2015,11:00:00,0.842,0.02815,0.03363,48.34,0.00298
01/01/2015,12:00:00,0.645,0.01817,0.0383,35.32,0.0024
01/01/2015,13:00:00,0.601,0.01225,0.04818,19.56,0.00192
01/01/2015,14:00:00,0.562,0.0088,0.05722,23.48,0.0019
01/01/2015,15:00:00,0.589,0.00887,0.05642,29.11,0.00197
01/01/2015,16:00:00,0.566,0.00808,0.05515,28.21,0.00195
01/01/2015,17:00:00,0.573,0.01022,0.04912,29.42,0.00198
01/01/2015,18:00:00,0.849,0.02163,0.03708,28.68,0.002
01/01/2015,19:00:00,0.702,0.01792,0.02907,33.35,0.00187
01/01/2015,20:00:00,0.573,0.0143,0.02455,27.37,0.00193
01/01/2015,21:00:00,0.65,0.01332,0.01997,13.3,0.00142
01/01/2015,22:00:00,0.721,0.01378,0.01862,10.57,0.00142
01/01/2015,23:00:00,0.592,0.0179,0.01412,15.57,0.00177
02/01/2015,0:00:00,0.577,0.01323,0.0183,22.86,0.00143
02/01/2015,1:00:00,0.558,0.01153,0.01768,9.41,0.0019
02/01/2015,2:00:00,0.564,0.01125,0.02065,12.64,0.00172
02/01/2015,3:00:00,0.576,0.00932,0.02313,13.28,0.00168
02/01/2015,4:00:00,0.603,0.0214,0.01452,16.77,0.00168
02/01/2015,5:00:00,0.703,0.02145,0.01427,17.53,0.0015
02/01/2015,6:00:00,1.048,0.03425,0.0046,24.78,0.00155
02/01/2015,7:00:00,1.396,0.03755,0.00308,26.11,0.00193
02/01/2015,8:00:00,1.721,0.04123,0.00382,33.71,0.00252
02/01/2015,9:00:00,1.728,0.04793,0.00908,39.7,0.00277
02/01/2015,10:00:00,0.78,0.0195,0.02495,42.35,0.00207
02/01/2015,11:00:00,0.495,0.00633,0.0312,29.59,0.0021
02/01/2015,12:00:00,0.516,0.00793,0.03142,27.71,0.0024
02/01/2015,13:00:00,0.497,0.0069,0.03217,25.34,0.00183
02/01/2015,14:00:00,0.525,0.00905,0.02847,25.9,0.0012
02/01/2015,15:00:00,0.488,0.00725,0.02798,27.83,0.0012
02/01/2015,16:00:00,0.524,0.00887,0.02672,35.88,0.00115
02/01/2015,17:00:00,0.565,0.0111,0.02438,22.94,0.00112
02/01/2015,18:00:00,0.614,0.01688,0.0182,28.43,0.00108
02/01/2015,19:00:00,0.699,0.01987,0.01478,28.02,0.00118
02/01/2015,20:00:00,0.708,0.02008,0.01385,26.74,0.00138
02/01/2015,21:00:00,0.689,0.01973,0.01297,21.39,0.00147
02/01/2015,22:00:00,0.613,0.0127,0.01553,13.18,0.00107
02/01/2015,23:00:00,0.675,0.01825,0.01087,12.61,0.0012
03/01/2015,0:00:00,0.539,0.00672,0.0203,8.11,0.00133
03/01/2015,1:00:00,0.621,0.01365,0.01425,6.47,0.0013
03/01/2015,2:00:00,0.554,0.00937,0.01768,7.07,0.001
03/01/2015,3:00:00,0.686,0.0168,0.01008,7,0.00108
03/01/2015,4:00:00,0.662,0.01623,0.00968,10.76,0.00132
03/01/2015,5:00:00,0.755,0.01963,0.00678,11.4,0.00108
03/01/2015,6:00:00,0.993,0.02737,0.00238,11.96,0.00143
03/01/2015,7:00:00,1.423,0.03,0.00125,26.43,0.002
03/01/2015,8:00:00,2.166,0.03815,0.00212,45.97,0.00372
03/01/2015,9:00:00,1.71,0.03975,0.00573,59.34,0.00455
03/01/2015,10:00:00,0.762,0.01585,0.01755,34.84,0.002
03/01/2015,11:00:00,0.574,0.01067,0.02255,27.37,0.00183
03/01/2015,12:00:00,0.504,0.0066,0.02438,23.38,0.00135
03/01/2015,13:00:00,0.507,0.00712,0.02377,21.58,0.00122
03/01/2015,14:00:00,0.519,0.00688,0.02267,18.48,0.001
03/01/2015,15:00:00,0.477,0.0054,0.02345,10.91,0.001
03/01/2015,16:00:00,0.483,0.00812,0.02243,14.77,0.00107
03/01/2015,17:00:00,0.518,0.01148,0.01955,15.21,0.00172
03/01/2015,18:00:00,0.584,0.01518,0.01538,20.72,0.00105
