"Trabajadores Asegurados",,"2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Periodo",
"Agricultura, ganadería, silvicultura, pesca y caza","Trabajadores Asegurados",46965,46740,45734,46076,49209,50149,52423,53017,55193,56869,59914,64139,69492,70246,77509,82606,89558,88700,88700,
"Agricultura, ganadería, silvicultura, pesca y caza","Trabajadores eventuales urbanos",1753,1131,796,736,797,819,687,781,722,890,1019,808,1157,1084,1338,1764,1889,3389,3389,
"Agricultura, ganadería, silvicultura, pesca y caza","Trabajadores eventuales del campo",3709,5426,5131,4902,6895,7152,8440,8098,10166,11714,13104,15947,17421,24068,25954,26584,30695,26964,26964,
"Agricultura, ganadería, silvicultura, pesca y caza","Trabajadores permanentes",41503,40183,39807,40438,41517,42178,43296,44138,44305,44265,45791,47384,50914,45094,50217,54258,56974,58347,58347,
"Agricultura, ganadería, silvicultura, pesca y caza","Medidas",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"Comercio","Trabajadores Asegurados",170188,177522,182133,187469,190256,196688,206674,216676,227223,226002,237810,254521,270255,282499,295797,312586,334254,337580,337580,
"Comercio","Trabajadores eventuales urbanos",4994,5180,5578,5851,5776,7135,10049,9170,12269,13227,15760,19517,23947,24350,26245,28058,29046,29683,29683,
"Comercio","Trabajadores eventuales del campo",2,4,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Comercio","Trabajadores permanentes",165192,172338,176555,181618,184479,189551,196624,207506,214954,212775,222050,235004,246308,258149,269552,284528,305208,307897,307897,
"Comercio","Medidas",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"Industria de la construcción","Trabajadores Asegurados",65353,61324,66991,74512,71830,77515,85005,91335,84833,82685,92801,91919,95205,98394,107248,119587,130890,145200,145200,
"Industria de la construcción","Trabajadores eventuales urbanos",42360,37379,41123,43967,37797,40495,39393,39456,34238,33418,37520,36516,35581,34353,37279,41151,43839,50666,50666,
"Industria de la construcción","Trabajadores eventuales del campo",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
