"Trabajadores Asegurados",,"2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Fecha",
"Agricultura, ganadería, silvicultura, pesca y caza","1 asegurado",505,549,577,575,546,565,529,541,559,596,659,687,687,
"Agricultura, ganadería, silvicultura, pesca y caza","Entre 2 y 5 asegurados",2185,2201,2172,2192,2260,2288,2284,2358,2632,2741,2696,3000,3000,
"Agricultura, ganadería, silvicultura, pesca y caza","Entre 251 y 500 asegurados",5053,7273,6043,6403,8595,8388,9584,10893,10713,10199,12191,12076,12076,
"Agricultura, ganadería, silvicultura, pesca y caza","Entre 501 y 1000 asegurados",12262,9108,14678,12626,9546,15317,16175,16428,20103,14136,13948,15348,15348,
"Agricultura, ganadería, silvicultura, pesca y caza","Entre 51 y 250 asegurados",9677,9578,9222,9629,11943,10170,9996,9679,10867,11623,14706,13357,13357,
"Agricultura, ganadería, silvicultura, pesca y caza","Entre 6 y 50 asegurados",7232,7544,7576,7972,8478,8618,9280,9744,10308,12276,13705,14390,14390,
"Agricultura, ganadería, silvicultura, pesca y caza","Más de 1000 asegurados",15509,16764,14925,17472,18546,18793,21644,20603,22327,31035,31653,29842,29842,
"Agricultura, ganadería, silvicultura, pesca y caza","No Aplica Tamaño",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"Agricultura, ganadería, silvicultura, pesca y caza","Tamaño de empresa",52423,53017,55193,56869,59914,64139,69492,70246,77509,82606,89558,88700,88700,
"Comercio","1 asegurado",6836,6886,6943,6977,6994,6943,7041,6879,6807,7171,7441,7679,7679,
"Comercio","Entre 2 y 5 asegurados",28081,28189,28576,28934,29431,29606,29763,30310,31032,32338,33021,34538,34538,
"Comercio","Entre 251 y 500 asegurados",18599,21813,23766,23231,25312,26714,28802,28857,34421,38913,41962,39500,39500,
"Comercio","Entre 501 y 1000 asegurados",10059,12128,14928,14654,13502,17536,21722,21312,20195,19647,24455,29321,29321,
"Comercio","Entre 51 y 250 asegurados",48571,51066,54440,55445,57716,61116,65893,67916,73198,75593,78543,78436,78436,
"Comercio","Entre 6 y 50 asegurados",78238,81071,82983,83443,86162,89691,93470,97472,99144,101820,105701,108692,108692,
"Comercio","Más de 1000 asegurados",16295,15523,15587,13318,18693,22915,23564,29753,31000,37104,43131,39414,39414,
"Comercio","No Aplica Tamaño",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"Comercio","Tamaño de empresa",206679,216676,227223,226002,237810,254521,270255,282499,295797,312586,334254,337580,337580,
"Industria de la construcción","1 asegurado",1936,1996,1987,1993,1848,1756,1846,1750,1828,1805,1941,1975,1975,
"Industria de la construcción","Entre 2 y 5 asegurados",10413,10572,9960,8918,9380,9617,9763,9959,10167,10852,11596,12674,12674,
"Industria de la construcción","Entre 251 y 500 asegurados",6536,7026,5544,6373,7745,8950,11386,7868,11638,10288,12445,13175,13175,
"Industria de la construcción","Entre 501 y 1000 asegurados",5489,7062,7771,6568,5282,6009,4697,8280,5281,11818,10990,13560,13560,
"Industria de la construcción","Entre 51 y 250 asegurados",23726,24801,21646,20064,25673,22532,26300,27790,29549,36690,36506,44114,44114,
"Industria de la construcción","Entre 6 y 50 asegurados",34328,36308,35606,35882,36267,38409,39898,42747,46523,46854,52885,55554,55554,
"Industria de la construcción","Más de 1000 asegurados",2577,3570,2319,2887,6606,4646,1315,N/D,2262,1280,4527,4148,4148,
"Industria de la construcción","No Aplica Tamaño",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
"Industria de la construcción","Tamaño de empresa",85005,91335,84833,82685,92801,91919,95205,98394,107248,119587,130890,145200,145200,
"Industria eléctrica, captación y suministro de agua potable","1 asegurado",8,8,9,12,10,8,6,11,12,9,16,18,18,
"Industria eléctrica, captación y suministro de agua potable","Entre 2 y 5 asegurados",45,46,47,54,64,61,52,44,60,73,84,81,81,
"Industria eléctrica, captación y suministro de agua potable","Entre 251 y 500 asegurados",1165,1190,1203,1260,1799,2171,1448,2179,1614,2549,2492,2186,2186,
