Pais_comprador,Regiones,2006/Enero,2006/Febrero,2006/Marzo,2006/Abril,2006/Mayo,2006/Junio,2006/Julio,2006/Agosto,2006/Septiembre,2006/Octubre,2006/Noviembre,2006/Diciembre,2007/Enero,2007/Febrero,2007/Marzo,2007/Abril,2007/Mayo,2007/Junio,2007/Julio,2007/Agosto,2007/Septiembre,2007/Octubre,2007/Noviembre,2007/Diciembre,2008/Enero,2008/Febrero,2008/Marzo,2008/Abril,2008/Mayo,2008/Junio,2008/Julio,2008/Agosto,2008/Septiembre,2008/Octubre,2008/Noviembre,2008/Diciembre,2009/Enero,2009/Febrero,2009/Marzo,2009/Abril,2009/Mayo,2009/Junio,2009/Julio,2009/Agosto,2009/Septiembre,2009/Octubre,2009/Noviembre,2009/Diciembre,2010/Enero,2010/Febrero,2010/Marzo,2010/Abril,2010/Mayo,2010/Junio,2010/Julio,2010/Agosto,2010/Septiembre,2010/Octubre,2010/Noviembre,2010/Diciembre,2011/Enero,2011/Febrero,2011/Marzo,2011/Abril,2011/Mayo,2011/Junio,2011/Julio,2011/Agosto,2011/Septiembre,2011/Octubre,2011/Noviembre,2011/Diciembre,2012/Enero,2012/Febrero,2012/Marzo,2012/Abril,2012/Mayo,2012/Junio,2012/Julio,2012/Agosto,2012/Septiembre,2012/Octubre,2012/Noviembre,2012/Diciembre,2013/Enero,2013/Febrero,2013/Marzo,2013/Abril,2013/Mayo,2013/Junio,2013/Julio,2013/Agosto,2013/Septiembre,2013/Octubre,2013/Noviembre,2013/Diciembre,2014/Enero,2014/Febrero,2014/Marzo,2014/Abril,2014/Mayo,2014/Junio,2014/Julio,2014/Agosto,2014/Septiembre,2014/Octubre,2014/Noviembre,2014/Diciembre,2015/Enero,2015/Febrero,2015/Marzo,2015/Abril,2015/Mayo,2015/Junio,2015/Julio,2015/Agosto,2015/Septiembre,2015/Octubre,2015/Noviembre,2015/Diciembre,2016/Enero,2016/Febrero,2016/Marzo,2016/Abril,2016/Mayo,2016/Junio,2016/Julio,2016/Agosto,2016/Septiembre,2016/Octubre,2016/Noviembre,2016/Diciembre,2017/Enero,2017/Febrero,2017/Marzo,2017/Abril,2017/Mayo,2017/Junio,2017/Julio,Fecha
América Latina,Altos Sur,559818,887991,1993451,94623,145265,224540,30844,257763,237818,201743,137060,151658,151996,152555,135047,310664,318391,162470,211434,162885,150684,299010,384378,400932,213486,347313,441286,212811,435706,407401,288262,621305,545473,724192,735288,354644,24763,124640,843914,815483,873961,318811,1555435,868855,409115,486173,533438,682520,300959,288670,210143,319820,153261,464658,708726,319170,431097,391701,449810,421647,480758,252356,626272,257189,390412,398277,236358,1354284,799377,541722,941363,536713,313629,659634,559403,1504494,1549766,342007,425840,748907,863283,966657,1432592,343520,512343,174477,424124,1995474,348813,764020,616315,332316,592360,334272,422154,579073,206760,198368,219151,163304,206340,454372,585834,502815,560261,386494,392682,588077,432658,109463,388934,414649,323890,400115,321364,415992,576787,586282,538934,708041,310286,211114,495337,322461,411979,368601,452313,246522,376975,766091,715393,329237,445551,257246,850643,396044,662993,199703,418444,66625990
América Latina,Centro,12566736,8912795,17903445,11935291,14216753,14385642,11538484,9895278,10376021,14581082,13747878,10661974,14765527,12788428,17039466,9006061,18101998,19435438,22467736,21172023,12836723,13555405,11822138,21711134,33296961,27902384,32770682,27664319,29527500,47593370,54231371,47590616,47404499,26547375,18192207,81088693,38063429,39097753,38751346,20222437,6886509,12305330,29971414,21695633,56049319,14472455,56059796,31462321,61575714,40377269,58566737,60978398,40387965,97705816,48484648,87066117,56824734,40874054,64974365,70047533,50573049,26875564,71707370,76058538,19968933,49262112,27160787,76895045,69051173,40641570,106618110,53819948,51707456,57151232,101838637,100610562,21617297,138346607,45562063,50824911,38901305,31913053,35734023,39405167,31300061,23222922,63608068,64577342,48306949,69921645,75674103,85031320,68177536,44532494,40413303,44682732,43337074,32854965,66546956,74196104,55806013,80411964,31296183,50049484,32791537,37499353,30890121,34964128,31873183,25027648,22605575,25215894,22453655,32904510,37180829,19777268,27611018,25180478,26930864,37724414,28791042,19388914,16123838,28138014,19647754,75392962,22129748,22249344,21138478,28776304,22538133,24410945,30143619,16827355,20741497,26238254,31131280,31210549,27204668,5371178561
América Latina,Valles,0,0,0,58388,0,125402,81135,40055,64937,234295,99910,92310,0,86468,289885,174645,191785,579208,266591,251872,165794,531013,131234,389301,221403,451006,320236,437586,213817,384792,319889,288806,543325,157450,43448,195670,30208,76875,46512,31115,31867,22526,17838,15515,0,45731,42910,5395,40189,23851,73092,0,114220,31447,28244,96744,0,12260,64071,19798,8892,23400,528726,225086,33957,76909,49172,6084,83646,16455,60243,11859,0,37995,5084,4196,37801,97169,0,0,9195,11647,11250,64827,0,74776,447219,14,6730,8060,137448,65585,162166,138767,34004,19299,0,368443,346044,206456,0,113430,255543,388854,16200,372600,88237,275400,130372,10,0,0,44750,34923,1425001,1570599,3127460,14850,28667,19094,4085,36632,14600,112867,318746,300196,274825,366013,322715,449591,273074,357137,551351,299703,706971,341599,392527,339059,381950,25470296
América Latina,Sur,1132854,905186,1256209,1031970,878932,1255748,1205387,1359888,836309,1151133,762920,171587,104721,308494,224314,393198,449832,370694,356773,373325,272020,521952,408343,315165,391467,440291,229551,333808,628235,564656,246525,567385,529743,656521,547131,298972,364267,452335,384647,281544,94102,563363,345662,141142,1872454,2214794,2092657,2065540,1765866,1606792,1888961,1953097,2411666,2286836,1979660,2253023,2509105,1936701,2678396,2011274,2659409,2959483,2238686,1918985,1984783,1894253,1667661,2048295,2158637,1979999,2079550,1739991,1996313,1857533,2676236,1997392,2102714,2037522,2221480,2268633,3183099,2994480,2238126,1313676,2249644,2538486,2643135,2734152,2382147,3248000,2396709,2762900,2439338,2945075,2238465,2287979,2571014,1652335,1546403,1912508,1664174,2220101,2168558,2256174,2478151,2843455,2100847,2268169,1434956,1371667,1873106,1495743,1835388,2317519,2380291,2415505,2310328,1819373,2482866,2015984,1585543,2050677,2150769,1467877,1754435,1658001,1585740,2465746,2292671,2268807,1480729,1934498,1200564,1942309,2366508,1692884,1912713,2053509,1972336,225988850
América Latina,Sierra de Amula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4225,0,0,6705,0,656,9249,6206,0,13370,0,19774,1139,11056,0,0,1010,0,14066,0,0,23041,0,22524,4032,0,0,0,20332,0,26384,29304,43003,23336,0,14860,0,0,17049,8424,0,20093,31868,503,13287,0,26733,0,53395,0,0,0,13862,0,31259,0,18468,27519,0,17254,17509,0,0,6388,0,0,0,0,13326,17179,10203,33613,0,0,0,13948,27898,0,0,2045,3041,5822,7829,7081,8099,9385,5641,6055,0,0,1278,2008,19587,15865,8984,0,8259,825028
América Latina,Sierra Occidental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
América Latina,Ciénega,5400194,8711949,8801954,7039453,7096887,4906335,5469977,7834227,6998751,7526147,8280051,5030234,8456833,9081110,9373230,8721848,11309488,8051386,10269755,9964936,11355973,10988498,11002296,6234278,11157398,8456124,9773387,8509144,2061053,1677781,1706357,1743426,907099,1572229,1693709,739105,752301,904121,283602,668962,387533,859838,18944,162284,277319,471404,418071,396912,499946,341537,225196,314040,414550,528393,510988,593392,445898,763055,685956,406309,142845,496081,469355,303998,346696,610008,175769,374843,482821,155500,180546,317324,296409,563918,321081,516468,397220,404736,497996,227383,290031,535099,1089247,1759805,657235,855171,993331,408079,419525,432071,320146,868812,313888,154413,350782,691230,145208,620185,552692,449853,555940,365947,425469,369799,520741,781299,467897,760542,583704,668021,602877,293929,340060,375407,729695,385793,520141,326719,263950,697417,229183,252580,495239,407148,382663,236033,229072,343471,283641,206895,346557,548739,371807,826927,477099,141463,266856,666932,444992,295613559
América Latina,Costa Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
América Latina,Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36061,21480,43036,21201,0,0,0,0,0,0,26671,0,0,0,0,0,0,26065,76083,46200,0,0,0,0,0,0,31632,0,0,0,0,0,0,29191,0,0,0,29235,28703,0,0,0,0,0,0,28939,30695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57616,28579,0,0,0,0,0,0,0,517012,464686,553342,859037,594286,436676,338088,0,0,0,0,0,1111015,1739743,1762882,4955,0,0,0,0,20665,0,0,0,0,0,0,0,8963774
América Latina,Costa Norte,248989,259453,202918,213553,525130,335591,331817,282895,158494,296001,374777,247383,408574,615375,250238,336840,115531,24452,272698,205472,42,137017,254466,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81706,50,0,0,0,0,0,0,0,0,429,9652,0,0,0,0,0,0,11068,132172,13991,126658,500,0,353547,0,0,0,0,10692,111811,0,0,0,0,0,0,0,142178,0,0,136073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7228670
