"Dólares",,"2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Fecha",
"América Latina","Industrias Manufactureras",555472258,618226121,1150422625,591400604,891942566,1069200854,1081303653,1779554858,2267599699,2200041561,2395915538,2606948230,2606843556,2999315267,2183406661,1851942746,1947152274,1285518450,30082207521,
"América Latina","Industrias Extractivas",145326,53359,4215026,38020,2411449,3192916,3321487,3680256,4376050,6025775,6512712,5871257,10970669,3273802,5538007,13979230,4381910,1785091,79772342,
"América Latina","Agricultura y Silvicultura",25634757,21233866,12884870,18755958,19609191,48433124,60563572,85971190,89310799,64336821,73169311,113559633,215944115,255475049,95652841,77423551,63337093,115554190,1456849931,
"América Latina","Servicios y Productos no Clasificados",9985562,4250805,2383938,4455407,2379342,16183984,4272258,97087804,75725191,57416421,95906757,96420096,50367752,68724112,58231152,81417597,67982987,17306931,810498096,
"América Latina","Ganadería, Apicultura, Caza, Pesca",58563,N/D,N/D,50217,N/D,N/D,N/D,N/D,N/D,N/D,1,N/D,374330,N/D,N/D,N/D,2090,1810,487011,
"América Latina","( Blank )",N/D,N/D,N/D,N/D,N/D,N/D,N/D,186954470,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,186954470,
"América Latina","Clasificación industrial",591296466,643764151,1169906459,614700206,916342548,1137010878,1149460970,2153248578,2437011739,2327820578,2571504319,2822799216,2884500422,3326788230,2342828661,2024763124,2082856354,1420166472,32616769371,
"Asia","Industrias Manufactureras",1710591986,2585627438,5475985694,2059448293,3293747962,4263450539,4999863400,5689126860,6097281997,5439852550,6679670588,7498848520,7398985401,7893115587,11654958142,12581380930,13453595691,8133321701,116908853279,
"Asia","Industrias Extractivas",172953,6109,3832953,1132234,193252,302333,317467,213743,158353,243494,420109,545407,17732140,4715262,4893250,6761419,10824624,2963108,55428210,
"Asia","Agricultura y Silvicultura",1030643,1541126,1418119,979049,12531222,17122051,18546097,19164433,39451656,32141857,36271692,73645214,70389713,50484095,19859430,17036860,17704693,22410688,451728638,
"Asia","Servicios y Productos no Clasificados",100375720,10625855,18139108,14432456,7936065,133246813,17170184,23803695,53558919,52083798,63384459,100942488,72019667,133186046,57570828,96671952,63113923,48934040,1067196016,
"Asia","Ganadería, Apicultura, Caza, Pesca",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,428,N/D,428,
"Asia","( Blank )",N/D,N/D,N/D,N/D,N/D,N/D,N/D,504893099,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,504893099,
