Pais_vendedor,industria,2000/Enero,2000/Febrero,2000/Marzo,2000/Abril,2000/Mayo,2000/Junio,2000/Julio,2000/Agosto,2000/Septiembre,2000/Octubre,2000/Noviembre,2000/Diciembre,2001/Enero,2001/Febrero,2001/Marzo,2001/Abril,2001/Mayo,2001/Junio,2001/Julio,2001/Agosto,2001/Septiembre,2001/Octubre,2001/Noviembre,2001/Diciembre,2002/Enero,2002/Febrero,2002/Marzo,2002/Abril,2002/Mayo,2002/Junio,2002/Julio,2002/Agosto,2002/Septiembre,2002/Octubre,2002/Noviembre,2002/Diciembre,2003/Enero,2003/Febrero,2003/Marzo,2003/Abril,2003/Mayo,2003/Junio,2003/Julio,2003/Agosto,2003/Septiembre,2003/Octubre,2003/Noviembre,2003/Diciembre,2004/Enero,2004/Febrero,2004/Marzo,2004/Abril,2004/Mayo,2004/Junio,2004/Julio,2004/Agosto,2004/Septiembre,2004/Octubre,2004/Noviembre,2004/Diciembre,2005/Enero,2005/Febrero,2005/Marzo,2005/Abril,2005/Mayo,2005/Junio,2005/Julio,2005/Agosto,2005/Septiembre,2005/Octubre,2005/Noviembre,2005/Diciembre,2006/Enero,2006/Febrero,2006/Marzo,2006/Abril,2006/Mayo,2006/Junio,2006/Julio,2006/Agosto,2006/Septiembre,2006/Octubre,2006/Noviembre,2006/Diciembre,2007/Enero,2007/Febrero,2007/Marzo,2007/Abril,2007/Mayo,2007/Junio,2007/Julio,2007/Agosto,2007/Septiembre,2007/Octubre,2007/Noviembre,2007/Diciembre,2008/Enero,2008/Febrero,2008/Marzo,2008/Abril,2008/Mayo,2008/Junio,2008/Julio,2008/Agosto,2008/Septiembre,2008/Octubre,2008/Noviembre,2008/Diciembre,2009/Enero,2009/Febrero,2009/Marzo,2009/Abril,2009/Mayo,2009/Junio,2009/Julio,2009/Agosto,2009/Septiembre,2009/Octubre,2009/Noviembre,2009/Diciembre,2010/Enero,2010/Febrero,2010/Marzo,2010/Abril,2010/Mayo,2010/Junio,2010/Julio,2010/Agosto,2010/Septiembre,2010/Octubre,2010/Noviembre,2010/Diciembre,2011/Enero,2011/Febrero,2011/Marzo,2011/Abril,2011/Mayo,2011/Junio,2011/Julio,2011/Agosto,2011/Septiembre,2011/Octubre,2011/Noviembre,2011/Diciembre,2012/Enero,2012/Febrero,2012/Marzo,2012/Abril,2012/Mayo,2012/Junio,2012/Julio,2012/Agosto,2012/Septiembre,2012/Octubre,2012/Noviembre,2012/Diciembre,2013/Enero,2013/Febrero,2013/Marzo,2013/Abril,2013/Mayo,2013/Junio,2013/Julio,2013/Agosto,2013/Septiembre,2013/Octubre,2013/Noviembre,2013/Diciembre,2014/Enero,2014/Febrero,2014/Marzo,2014/Abril,2014/Mayo,2014/Junio,2014/Julio,2014/Agosto,2014/Septiembre,2014/Octubre,2014/Noviembre,2014/Diciembre,2015/Enero,2015/Febrero,2015/Marzo,2015/Abril,2015/Mayo,2015/Junio,2015/Julio,2015/Agosto,2015/Septiembre,2015/Octubre,2015/Noviembre,2015/Diciembre,2016/Enero,2016/Febrero,2016/Marzo,2016/Abril,2016/Mayo,2016/Junio,2016/Julio,2016/Agosto,2016/Septiembre,2016/Octubre,2016/Noviembre,2016/Diciembre,2017/Enero,2017/Febrero,2017/Marzo,2017/Abril,2017/Mayo,2017/Junio,2017/Julio
América Latina,Industrias Manufactureras,30303804,21215828,31298113,33358374,67373766,58354363,47566573,51311091,36400806,50265853,59435550,68588145,57938134,46262851,48055653,49784064,45214985,49105659,45589735,49855900,38361331,57897392,65220179,64940239,94163049,99417244,88075618,110902607,104016188,97133436,119852208,116905932,105822789,88510929,78349179,47273455,46694167,40837044,43506526,42422261,42326146,43984048,47794592,46598094,53631270,78031871,49413318,56161284,70816305,62195805,100570403,88780551,58209013,64640043,85844371,76197069,67274917,61943896,80848426,74621759,61038636,51568336,73243138,66118516,68773677,82790980,104839583,117581911,94207455,116852240,121100488,111085999,82318605,90339504,86985485,73265798,88800412,99388049,83248872,100900279,90409916,112650151,89172641,83824073,173383931,137620346,167429080,N/D,185241784,160762005,161352545,158201706,160675528,193517921,155915638,125454535,142969123,185762144,175719537,167633559,188798991,173049095,216982902,192931794,185617274,216390035,195733516,226011900,169074744,120808281,126221839,107963658,147860317,168078616,122836145,137833053,203449972,416553277,239459585,239902189,164484754,191613145,224491370,224914547,244726000,222837407,189126656,188078795,161317628,193803969,178149419,212371990,162352495,192255648,229174586,279111700,271857054,188807409,194735384,215673476,255879964,179458966,231936781,205705039,179521864,225123869,196192275,202483667,217766254,216155808,178188740,266421225,222422759,214615694,256102092,231849593,210409395,199971713,212006120,267830634,305312833,239556271,269931521,238018264,265955898,248980770,248957691,292384369,175699354,174018843,201835711,180696407,206918302,228100702,194318094,167260380,129665136,180829300,177432478,166632076,123961510,139909666,303032201,262998464,138106612,127957782,123690625,118721027,136223383,117995385,120868106,138478193,133522068,146672736,148917364,127890003,172840193,168955795,213204462,151413168,135145030,197032253,178447140,173112296,195899079,183503634,152810474,207662307,185470521,191672524,168500082
América Latina,Industrias Extractivas,11784,3905,13294,6313,58568,13928,2357,5833,16943,5444,4466,2490,19462,1567,1847,15944,1884,1456,1591,2609,1672,1934,1794,1599,5,N/D,N/D,N/D,33656,91111,536973,2375953,30191,N/D,1147133,5,N/D,126,11137,7910,98,10722,2425,N/D,5574,N/D,N/D,28,188140,186740,182400,181040,451807,13008,244405,219200,249562,128578,363450,3118,260438,119,408983,230878,133660,253923,609120,126000,267246,140000,392150,370400,361800,147000,324400,N/D,290901,365600,431280,562344,10598,599146,131098,97320,466027,176880,178980,N/D,530181,457010,457001,420833,310426,7855,675060,2,655904,563530,23655,197649,247918,573111,409498,203452,204099,764818,516032,16383,27035,96973,1328482,1031390,641057,546778,598081,154881,812384,111027,273476,404212,144756,952593,561207,145775,261958,292034,859162,973867,1167848,305790,128575,719147,590208,507742,601283,199175,146561,1040960,934957,390146,664340,158842,257975,379072,371374,75034,320585,831202,881153,1221126,1307812,2376047,1474529,1769702,104975,237132,228164,863924,98100,12730,291730,697200,402420,476071,75081,35040,37707,55635,5239,1013454,49600,11811,4543,206211,209999,627515,47065,583761,1958087,820724,22467,3879799,2109869,53979,497883,2056252,2341176,1538518,818052,288651,334820,37763,58921,152841,147291,128104,40884,883591,1136920,1052825,354837,81955,185732,158012,57106,203345,109154,161584,573661,354813,325428
América Latina,Agricultura y Silvicultura,2106963,1610707,1589039,2305238,1352984,1621238,495612,1742965,3209655,2751565,3914674,2934117,1878267,5522663,4012482,3452244,1849019,993795,1025942,840475,506626,550553,35280,566522,691095,894919,971472,776596,1169393,542802,390025,338401,188832,3342268,757217,2821853,750377,403445,326524,556409,7494257,581488,556564,3335736,576578,562121,2968217,644244,1099104,961617,2529873,1565835,1280724,1230807,2157530,1864247,473443,1199771,1207059,4039180,4830425,4521081,5970154,4388257,3752264,3072079,2242434,3968168,2559615,1877740,2971822,8279089,4035506,4413877,7022927,11029795,2411999,4429355,2351327,3718792,2041097,3760251,4931614,10417042,3321728,6355719,9289473,N/D,10197766,9853433,9904328,3772370,5441685,11297094,8381859,8155738,9674042,10680158,5032526,10943766,19553669,4074372,10786278,5783033,5789089,2089918,1598273,3305677,7652517,3577294,4385189,5553984,4443354,9774578,5050637,3556767,10125010,4491032,2680474,3045994,6065646,6756754,4907898,11408820,7155860,4726111,4186821,3624267,4030642,9094767,4668170,6543564,6934427,5484708,8602459,5876197,12938952,10337054,7016384,7878519,15479087,5983477,16755599,10272785,6526047,9342113,18805355,30427815,36957890,41244188,9903633,27973133,10080613,10036157,6720097,7927087,9829766,10452369,5520272,29108098,44617863,32519835,44497037,25283089,25713403,8889830,6757185,12286303,7409669,3297576,17437525,4452632,9757688,8824207,11304388,14477106,3009855,9381180,1914345,4386674,14251698,8084797,3527480,4417427,5613487,4736271,3156828,3037598,3392866,7379388,2857185,16968531,4983855,8154377,7691849,4530479,4233197,5169352,5686495,4529588,4685332,3944364,3442504,6285703,27949504,25758793,6654383,5189143,28176540,11347933,10477896
América Latina,Servicios y Productos no Clasificados,146526,238749,2789631,1450155,299557,1080203,1116061,226860,136045,124334,120860,2256584,84798,36478,26288,75070,147028,68300,253818,2785350,669624,4527,90704,8819,95043,65754,9212,1278793,84408,19536,28267,211366,48444,142962,207243,192915,41284,78505,594975,286821,877022,272856,592401,318386,366010,611061,117475,298611,588315,239119,155399,106819,192775,122568,118892,198655,177015,171628,184550,123605,2890907,11430021,325627,111499,123170,67689,84782,341665,275131,258001,187349,88149,297868,244626,1982230,367346,266929,427982,977,158258,125781,351257,41162,7847,627,88306,9069274,N/D,25582723,374658,581156,30026806,3886755,7514186,13851177,6112145,10968601,2373448,17106287,5807352,3321030,7382883,5763706,4298611,3627223,3448430,3379923,8247707,3208772,1686183,1847698,4625099,4946721,4223350,6907295,7168402,9007804,6974587,3393976,3426538,7652801,2079760,3106925,6542780,8546868,5911155,6881220,10777194,6049684,8152693,19968855,10236829,1918579,2746592,3771232,3845267,6492555,15602809,12131618,12621022,11371760,6193120,7642955,12082593,4765062,2242906,1549896,2776493,2928373,4257528,4931136,7046271,4950636,4371559,3779785,6768111,3875239,3387953,3316037,5507112,6283831,5266283,24149886,5139752,2564113,5064561,1439163,2730194,7413906,5952181,1189623,2792668,6834853,8656268,8937961,6396711,2030425,2016876,5093647,916062,251829,525449,612040,9283979,9625042,11085859,4843285,4945561,6243352,3467300,3904687,26629244,4428471,24198682,1093449,2578801,2350148,3640067,3853286,4872866,4078372,2525429,6734467,7628974,1447175,3539698,2238425,3655011,1631675,2450288,2344667
América Latina,"Ganadería, Apicultura, Caza, Pesca",80,N/D,N/D,N/D,N/D,31053,N/D,N/D,27430,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,26617,23600,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,1,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,374330,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,100,230,250,180,480,350,130,100,60,130,80,60,460,150,430,30,N/D,680
América Latina,( Blank ),N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,186954470,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
América Latina,Clasificación industrial,32569157,23069189,35690077,37120080,69084875,61100785,49180603,53286749,39790879,53147196,63475550,73781336,59920661,51823559,52096270,53327322,47212916,50169210,46871086,53484334,39539253,58454406,65347957,65517179,94949192,100377917,89056302,112957996,105303645,97786885,120807473,119831652,106090256,91996159,80460772,50288228,47512445,41342720,44439162,43273401,50697523,44849114,48945982,50252216,54579432,79205053,52499010,57104167,72691864,63583281,103438075,90634245,60134319,66006426,88365198,78479171,68174937,63443873,82603485,78787662,69020406,67519557,79947902,70849150,72782771,86184671,107775919,122017744,97309447,119127981,124651809,119823637,87013779,95145007,96315042,84662939,91770241,104610986,86032456,105339673,92587392,117360805,94276515,94346282,177172313,144241251,185966807,186954470,221552454,171447106,172295030,192421715,170314394,212337056,178823734,139722420,164267670,199379280,197882005,184582326,211921608,185079461,233942384,203216890,195237685,222693201,201227744,237581667,179963068,126168731,133783208,119174131,157891449,182623322,135392158,148713103,223395170,428129923,245807511,246778933,178347957,201402252,233067401,243011922,260690686,233766707,201053859,203454123,172565802,211357219,202915019,229871530,171795709,200994690,242149560,289032339,291435122,215788232,214818343,236563163,283395151,191794405,256593310,228439489,191184347,236783922,216868111,236519177,258533670,262878650,194331321,303816676,238928537,230793112,266706949,247156253,224342564,214675959,220940529,302458574,356506257,278039589,338980864,268917176,294308495,262970201,257191746,307456501,190528168,184282054,220512459,187953518,223515386,245787388,214770442,188761712,134752481,192811117,186398557,172755536,138487504,152399711,309281590,276753849,153843024,145836164,134031914,128242704,146677653,129130724,127964798,182113731,142993315,179178736,157850183,135127637,179464602,178649285,223881513,161868577,144263671,203584061,188809973,187185065,225352924,213005930,161812586,216668475,215852427,205825558,181648753
Asia,Industrias Manufactureras,126150334,80049770,107243132,127048969,147467840,150418515,146757452,161211039,141515133,136199226,133886394,252644142,187652121,176052321,171587687,162770361,168140742,211600326,223931891,223899529,256763760,248801116,250624373,303803228,480460746,470428908,509580039,532298371,667606819,574313647,639836148,552733330,491450228,186453854,174033721,196789890,116197887,125481292,156775797,166221761,183910185,194318552,210228419,152169416,182566393,181618114,175440538,214519899,190504140,205107600,256324945,259380333,260012180,269534709,260036502,298723889,283046977,315337699,384011819,311727280,303136387,296600538,296920986,339007272,319107984,331993982,319778022,408961782,397573932,374710745,414893601,460765688,361794704,320318969,407627592,332235545,410181536,444157970,397238354,419386210,455557375,502711269,513556197,435098205,532877362,465314065,518689237,N/D,518310666,556844316,566946960,529477837,465130319,495863125,516012167,523661381,480794633,468564990,469945137,586690931,560246591,538690475,564358597,480568765,554210450,432280610,471687508,489243920,338899211,304342068,360415639,329846758,354790255,509272746,434972253,462623624,548790464,523514505,604393839,667991918,495529337,504814894,597186113,494634298,561186112,590955276,531084855,599378209,621806946,540202537,586722312,556170642,509632362,556243662,536501477,472416137,599334863,632184980,655787067,845748025,653187424,649630146,772689087,615494154,624549449,521273953,607866094,563433242,670163840,678768915,652030918,689482620,562724217,640118746,604610153,583964189,593736547,580085175,533538017,634525967,666585866,675250267,729901009,762892623,699081823,692157288,638210640,687151396,815665105,783992606,962742164,995481610,966434144,920992808,1018363124,1087956910,1090711957,1004140472,1003023129,1005454879,912620718,914676812,970073474,1047317854,1033574744,1162915825,1166986130,1081363727,1258417274,1103175143,1042850016,887409999,778561454,933109480,1108058530,1142793852,1142840805,1245485238,1076793614,1287697953,1261122230,1291504962,1235435130,950193238,998953741,1022347096,1125449884,1150878454,1313764852,1372016511,1149911651
Asia,Industrias Extractivas,N/D,N/D,N/D,26,88,N/D,47147,125692,N/D,N/D,N/D,N/D,51,5948,13,5,92,N/D,N/D,N/D,N/D,N/D,N/D,N/D,226923,243360,670756,114066,653166,311441,222590,1304135,83206,N/D,3312,N/D,3300,52046,N/D,3300,16006,179807,154936,193514,158787,11139,181351,178048,6400,57806,N/D,N/D,3,6026,60446,8706,41255,817,11786,7,65058,3888,135,62787,3700,92778,507,22585,162,50732,N/D,N/D,58622,4668,N/D,22422,55992,58405,25798,19833,6091,17594,610,47432,1340,57438,1050,N/D,4748,45136,24542,16927,32401,5709,182,24270,284,936,28483,2431,1184,17199,N/D,36600,19074,21603,30529,30,7541,18704,40439,7850,7848,36572,39393,2,16156,12498,31824,24668,33018,19065,84782,63677,27472,8743,14,78913,2,15896,44800,43729,10751,60131,16741,N/D,125530,63999,17090,90721,59858,133,38966,61484,37502,84823,29084,23534,70443,581206,65232,35141,82884,1140448,1631790,13950055,325150,1496678,110296,1324556,205382,141952,895436,29958,154865,6761,23313,915,26375,565467,1772835,56130,75720,27000,317805,10358,408919,3306,38546,1590790,33299,80859,592970,109321,707670,230029,10306,1681830,908544,559299,826260,1021033,257457,6619,12045,14023,14905,3884226,1574641,2396896,27706,39785,7354,2588968,2837108,22491,8407,8851,80135,6106,10
Asia,Agricultura y Silvicultura,154172,145357,62872,92797,95782,109746,N/D,N/D,162926,50303,156688,N/D,40010,24335,70670,166919,139900,126926,176811,227965,189884,174406,203300,N/D,285338,274753,78451,130074,88762,35408,189284,83006,92618,N/D,10969,149453,139354,N/D,76505,90744,190060,176395,151946,34604,34604,58926,N/D,25909,846890,1577186,2904131,1491789,895861,802266,610129,1727262,911984,453046,261780,48896,1680818,2128602,2056023,1045464,1093644,1235089,826167,891889,1046541,1324926,1646464,2146426,1346594,781027,1270940,1708048,1696232,1706397,1872337,2483150,1614267,758286,1369188,1939634,2147358,2113402,2277830,N/D,1847538,1666831,2271443,1056194,1047650,1264776,1540055,1931357,2891077,5061416,4705608,4853398,4400342,3915006,3467365,2700409,2387695,2332514,1450715,1286114,3010379,1578018,2596359,2650572,2062882,3793305,2124189,1448440,2929684,3215450,2991934,3740644,4028722,4439179,3285695,4453909,2916753,2716999,2816101,2092803,1896426,2288171,2741919,2595016,4997571,4469428,5250231,5945688,5943216,4160414,3439551,3996091,19892518,3182254,5814150,6554109,6906947,6452538,11460598,11778094,7573442,3697000,4293228,4005260,2813835,4415834,4024787,2968162,4483919,3461091,4060892,5546317,6309887,3055811,3925345,4628161,3573048,4015509,4013317,3410808,1193354,770337,1989043,1964894,2052995,2060078,1628050,1305312,1298458,2314090,1984179,1298641,1389065,1659381,3275604,986570,1660699,1573670,866842,811384,1043626,1107259,1339109,1323653,1338623,1844388,1067305,1147191,1043709,1000544,1403397,1294733,1267773,2600175,1910697,1786164,1921270,2683721,3973859,4191510,3467150,2877473,3295708
