Pais_vendedor,secciones,2000/Enero,2000/Febrero,2000/Marzo,2000/Abril,2000/Mayo,2000/Junio,2000/Julio,2000/Agosto,2000/Septiembre,2000/Octubre,2000/Noviembre,2000/Diciembre,2001/Enero,2001/Febrero,2001/Marzo,2001/Abril,2001/Mayo,2001/Junio,2001/Julio,2001/Agosto,2001/Septiembre,2001/Octubre,2001/Noviembre,2001/Diciembre,2002/Enero,2002/Febrero,2002/Marzo,2002/Abril,2002/Mayo,2002/Junio,2002/Julio,2002/Agosto,2002/Septiembre,2002/Octubre,2002/Noviembre,2002/Diciembre,2003/Enero,2003/Febrero,2003/Marzo,2003/Abril,2003/Mayo,2003/Junio,2003/Julio,2003/Agosto,2003/Septiembre,2003/Octubre,2003/Noviembre,2003/Diciembre,2004/Enero,2004/Febrero,2004/Marzo,2004/Abril,2004/Mayo,2004/Junio,2004/Julio,2004/Agosto,2004/Septiembre,2004/Octubre,2004/Noviembre,2004/Diciembre,2005/Enero,2005/Febrero,2005/Marzo,2005/Abril,2005/Mayo,2005/Junio,2005/Julio,2005/Agosto,2005/Septiembre,2005/Octubre,2005/Noviembre,2005/Diciembre,2006/Enero,2006/Febrero,2006/Marzo,2006/Abril,2006/Mayo,2006/Junio,2006/Julio,2006/Agosto,2006/Septiembre,2006/Octubre,2006/Noviembre,2006/Diciembre,2007/Enero,2007/Febrero,2007/Marzo,2007/Abril,2007/Mayo,2007/Junio,2007/Julio,2007/Agosto,2007/Septiembre,2007/Octubre,2007/Noviembre,2007/Diciembre,2008/Enero,2008/Febrero,2008/Marzo,2008/Abril,2008/Mayo,2008/Junio,2008/Julio,2008/Agosto,2008/Septiembre,2008/Octubre,2008/Noviembre,2008/Diciembre,2009/Enero,2009/Febrero,2009/Marzo,2009/Abril,2009/Mayo,2009/Junio,2009/Julio,2009/Agosto,2009/Septiembre,2009/Octubre,2009/Noviembre,2009/Diciembre,2010/Enero,2010/Febrero,2010/Marzo,2010/Abril,2010/Mayo,2010/Junio,2010/Julio,2010/Agosto,2010/Septiembre,2010/Octubre,2010/Noviembre,2010/Diciembre,2011/Enero,2011/Febrero,2011/Marzo,2011/Abril,2011/Mayo,2011/Junio,2011/Julio,2011/Agosto,2011/Septiembre,2011/Octubre,2011/Noviembre,2011/Diciembre,2012/Enero,2012/Febrero,2012/Marzo,2012/Abril,2012/Mayo,2012/Junio,2012/Julio,2012/Agosto,2012/Septiembre,2012/Octubre,2012/Noviembre,2012/Diciembre,2013/Enero,2013/Febrero,2013/Marzo,2013/Abril,2013/Mayo,2013/Junio,2013/Julio,2013/Agosto,2013/Septiembre,2013/Octubre,2013/Noviembre,2013/Diciembre,2014/Enero,2014/Febrero,2014/Marzo,2014/Abril,2014/Mayo,2014/Junio,2014/Julio,2014/Agosto,2014/Septiembre,2014/Octubre,2014/Noviembre,2014/Diciembre,2015/Enero,2015/Febrero,2015/Marzo,2015/Abril,2015/Mayo,2015/Junio,2015/Julio,2015/Agosto,2015/Septiembre,2015/Octubre,2015/Noviembre,2015/Diciembre,2016/Enero,2016/Febrero,2016/Marzo,2016/Abril,2016/Mayo,2016/Junio,2016/Julio,2016/Agosto,2016/Septiembre,2016/Octubre,2016/Noviembre,2016/Diciembre,2017/Enero,2017/Febrero,2017/Marzo,2017/Abril,2017/Mayo,2017/Junio,2017/Julio,Fecha
América Latina,SECCION I Animales Vivos,937332,967008,450165,909028,1045412,1643004,1691301,1216246,1157328,674136,2668418,1537937,182182,175313,508571,1113790,814553,1576853,1733397,2613182,2296089,3109285,2986651,2016772,1873326,1683630,1137792,2206885,1877961,616787,1099588,1128127,1979533,2762528,2265414,1735094,793197,1299796,1412373,726820,1753432,892655,1942537,2019869,1934042,2292702,2018532,2273613,1117546,710322,1289968,1100612,866873,821703,1969440,2376938,2638208,2248031,3409919,2778392,1424432,1339430,2049248,1800037,1543294,2384462,2125582,2701542,1498433,2805722,1988914,1946393,1485336,1230252,1997570,1960567,2908738,2811869,2850133,2122132,3373365,2575368,4118744,2537443,3576617,2935424,3114299,5455353,4991557,5184890,5154995,5710745,4224239,4476835,6724440,6622590,4526946,2847088,2617822,2416713,4130474,4212088,5327467,4991530,4311409,2623991,3199517,2792638,4532384,3031577,3352986,2015118,2006875,3647215,4115652,2900912,2662919,3032814,2336309,3199906,2724751,3038286,3870102,4181053,2880238,4321536,4619882,3304015,2247295,2662758,3514244,3036860,3709799,3746287,4463455,3024451,3350069,2475168,2975914,3562697,2947813,2130109,4700187,4803812,3550254,4897813,3432846,3846231,2830403,3576711,5186109,4957022,3482538,3184592,2637233,3523544,3242545,2433283,4116467,3974337,6105605,4796545,3320110,3909219,3196953,3637223,3475211,2543294,1005330,2070698,2157054,2962569,1436469,3907305,1507224,775149,877738,1057398,2106027,2638049,1959559,2518060,2973222,1454799,2243492,2422496,3318461,868555,6285629,1883126,1799407,5273533,1445741,2995284,2700932,2274164,1545441,699140,906274,819894,468584,863620,634691,1150953,1654368,3029927,1240788,745328,1461295,2938496,1178901,544063495
América Latina,SECCION II Productos del Reino Vegetal.,2544074,1746571,1846775,2589233,1352984,1940456,495612,1904901,3610101,2751565,4296708,3138249,2046267,5522663,4088363,3524244,1849019,1018468,1025942,921652,506626,550553,46794,566522,691095,894919,971472,776894,1169393,548022,390025,356401,204972,3352708,790361,2957000,803116,408662,326524,579145,7494257,581488,556564,3354028,1116578,1495046,3328217,1014244,1282562,967882,2536323,1571921,1280724,1608207,2391280,2733747,1200571,1350611,1272059,4554220,4974425,4665081,5971094,4427088,3752264,3236830,2774234,5673615,3324109,2236551,3409918,8873091,4149161,4878287,7584977,11248828,2617497,4671672,2613951,4650570,2840492,4111441,5282204,10892428,3951373,6717180,9534262,10331470,10329369,10045921,10043292,3893384,5644792,11370106,8585314,8210839,10005444,11042056,5475108,11310737,19797832,4484256,11184449,6120323,5970918,2559400,2136657,3492927,7893099,3948745,4925488,6200818,4835588,10273226,5798878,3940771,10468110,4912137,3321526,3484991,7193888,7284447,5110360,12044926,7934611,5052999,4682747,4200936,4470519,9635482,5042171,7141895,7409643,6210476,9430613,6589691,13606904,10836846,7646005,8144105,15973644,6455039,17367099,11428435,6938105,9959943,19331806,30922417,37952408,41791298,10464001,28363077,10387649,10423894,6868460,8201358,10182541,10752977,5842627,29617831,45295762,32813327,44712992,25945774,26019178,9123673,6998187,12549958,7520008,3613930,17660031,4800277,10278130,9196209,12055886,14912398,3760419,9826701,2076446,4621681,14437045,8634255,3590168,5042084,6510217,5063978,3504708,3296085,3598456,7788313,3764250,17801406,6171886,8358937,7845822,4721009,4529421,5299422,6386406,5511251,5644239,5061434,5179108,6832384,28019417,25829161,7039437,5421426,28306295,11503398,10922922,1542185251
América Latina,SECCION III Grasas y Aceites Animales o Vegetales; Productos de su Desdoblamiento; Grasas Alimenticias Elaboradas; Ceras de Origen Animal o Vegetal.,1434912,48008,2230171,92292,129274,1684704,834358,927885,879017,185215,78549,37729,12465,12018,16300,N/D,706,7766,716,5134,15475,4942,36805,N/D,N/D,2295,203449,962533,127217,123,91900,113405,80776,3608,85845,N/D,21226,3234,N/D,N/D,N/D,N/D,175573,393711,437836,N/D,N/D,251025,295157,23437,236729,185395,592401,N/D,1886686,594686,242644,17200,196478,592425,713316,511708,1431773,1282417,543096,837982,942005,2442836,506747,1355205,1857731,1851637,890756,2039400,2123594,2070562,2506682,1643158,1742713,2106018,707390,4427296,5185430,1620640,14401971,816953,6898878,13861430,1053756,672293,9475482,1039607,6695883,5460229,5825421,5321601,2418409,8987407,6628834,5334472,11923851,7003291,5547098,10030433,5946958,11866456,7127571,6495928,10319741,3304838,4066019,4178283,20936072,5452623,5384363,5385781,5819128,4633271,5990650,5466095,4369248,3849825,1603661,1998513,3506687,2373786,3495127,2352373,4095627,5902499,3759887,2026714,7685268,5180683,1451066,6522931,26833040,5096642,5765846,2358659,2668633,3454371,6087268,4932864,3807935,3415738,3657839,6115854,7356754,8102797,5857300,4980746,6353823,7996333,12473016,23533750,17563412,4444450,3970205,6578442,5027919,13804217,5643694,263780,5565466,6323227,14095980,2660112,3960478,2838815,699865,2276156,17104495,16349425,4963501,4514845,3022925,5382462,4145360,3704311,3260842,6371623,1852058,2851402,2679339,5804427,4869904,1924219,3463621,3675974,3221043,1924039,2812643,2802269,524159,3806648,3455708,2979515,3023481,2817583,2840925,3339660,3526866,3103466,4940911,4492315,6032676,4154178,5281642,5091571,4820041,777273989
América Latina,"SECCION IV Productos de las Industrias Alimentarias; Bebidas, Líquidos Alcohólicos y Vinagre; Tabaco y Sucedáneos del Tabaco Elaborados.",3843891,4054625,4154050,3696326,5207760,5291657,4980879,3795749,3103393,6026664,5776932,3383149,3842476,3242111,3211014,3904880,3233139,3480039,4598100,4707367,3827690,6955041,4526872,3347934,3780894,3219332,3111884,5069916,2693689,3182301,5306665,5969098,4671622,6854321,6237447,4516294,4585817,4294458,4061290,4283164,4453384,3341129,4619017,3680537,5109914,7124805,4695701,5073287,2030721,2250148,3231509,2117296,4110987,2096413,2640948,3627247,4764877,4120705,3251416,6968467,7210290,4117287,7284956,6748723,6037047,7953233,7496396,6911959,8413219,10755412,12626284,9971322,6170030,6831243,4959913,4904907,5513751,8164924,7315698,8177025,11670227,13780802,11438812,10901548,11252043,11509825,11367936,15989436,16461857,16279349,16454326,23217505,19282782,23191965,17004711,12117159,11406651,7100185,9151164,8516013,9767820,15629470,8932866,12432673,14577668,12038458,12289741,7755218,8245648,4729228,9395571,5228386,5110852,6767973,7763313,7124351,13360142,17260626,28786720,21000485,6217605,11850940,17535331,20476017,12753938,10989276,9442520,7365678,8818620,11086468,8350143,9672955,6851914,6902562,8805590,8130718,8682664,9716288,9274769,14597147,10686990,9577436,16792761,8228102,18499838,6742743,7539574,6846928,15331567,11981165,7774248,9601718,12578852,9009691,9656065,6772231,7381758,4671048,5604773,6598975,9449473,7778394,10064472,7958807,5878003,5405560,5100164,6027305,5240247,3046490,4106348,5270401,6058374,9929809,6131409,6023489,5619980,7728377,5018051,4317994,6642664,3520639,5772857,7776220,7931087,8404955,6607504,9470005,8109146,8557855,8313542,6375928,7660735,4428500,6922925,7856472,8398618,8595699,12240146,12307522,10446445,8976056,9567312,8930306,7567403,5837110,7190376,7556813,8382440,11202490,11146489,1685440365
América Latina,"SECCION IX Madera, Carbón Vegetal y Manufacturas de Madera; Corcho y sus Manufacturas; Manufacturas de Espartería o Cestería.",961956,1037635,866945,1207511,1714888,692225,955370,1883249,3226554,1023375,3263720,1580678,2019087,1324251,1489053,2634875,2640159,1202368,2603109,2649450,881827,1577177,3074817,3705029,2304500,1565402,3637417,2608064,2926782,1741512,2523420,2356399,2463732,2040557,2732603,2153714,2718301,1974218,1977427,3151375,3095235,2334767,2959383,1509290,1578669,3109095,2721671,2575007,510016,1349074,753661,1692776,499484,1639698,484394,1545065,888687,1156022,1438381,1183745,2706032,2906882,3571432,3729554,3231816,3363242,3672300,3931710,4204543,4658898,4397780,4074243,4010514,3921760,4254692,2934589,4873750,5375009,4442953,3855917,3284565,3203372,4911328,3558857,8731757,7562172,7598240,4767089,8188068,7979809,7083630,8710774,8055108,8414162,9667108,5682859,8989605,7710092,8486222,9547344,10744730,8850395,13552218,9667605,10637083,13752651,11667572,13919151,6568699,5396566,9320341,9003937,11710738,11530276,9626154,8409359,9515977,11887519,13937810,11184569,13357911,11416948,11249383,6516615,22770434,26799855,26118579,14301131,17482692,16870307,17129563,19963549,16419584,18154113,15332350,10216341,19491460,4869680,14970588,27365869,15917430,13926385,28031162,19169771,11832868,12715815,10248288,11092827,13398025,16932103,18757148,17530635,16081905,14716344,14313181,12363904,15664453,14565176,11129566,13752023,15629833,16277756,15287142,16279362,18830175,16166782,21644846,15998991,44356,89401,117686,94020,143054,145839,139207,181477,104635,88206,66989,90740,110714,166730,103936,195639,30744,102187,142510,8070,51720,164479,61985,17950,72962,1687031,3931156,1203458,2430487,563750,832418,1161839,1866889,1701688,1507537,1180191,16958845,14382159,15258759,13612866,15378087,13559541,13950397,1440001133
América Latina,SECCION V Productos Minerales.,12131,11903,17392,9865,59449,21921,2770,289364,31519,212467,5445,19327,25585,3029,5363,256411,2525,1989,2751,3198,2261,179813,23465,2434,61,N/D,N/D,16967,42144,91111,881175,2397691,30867,213724,1164992,1128618,6,40427,129227,380725,83950,91305,48475,89944,227028,285855,376906,96710,188140,186740,774600,181045,451807,13018,276758,245332,331177,128578,445050,3118,343270,84119,475583,361253,293683,348067,1113747,150925,267666,165785,426268,373235,364353,147633,354570,2790,319503,365600,431289,563796,115371,599146,131108,120465,473093,180276,206562,753495,530473,463428,504539,422831,310526,42698,681202,6,655904,563565,103222,253935,302645,575110,410309,259268,218125,767642,556565,31591888,9678143,181403,1328661,1032009,641057,585957,598372,154949,47115606,112805,276111,36560789,227829,33806557,18563948,26105249,24458282,998636,1242128,2085065,1168679,307279,128815,720038,591326,508615,602403,199186,148516,1041356,935708,637380,664363,158854,258018,938792,371391,75039,2287486,831212,898303,1221355,1312998,2382149,1475287,1769794,106110,306480,292059,1012700,164440,118873,389850,767958,492491,570751,215692,73155,99463,23702647,38382,1395320,362368,231606,39657,285168,246098,627895,82707,659189,2167965,887203,52046,4019252,2165917,226825,562545,2234787,2493740,1616772,1199413,391076,421625,103812,149974,270920,150119,389996,630471,1429346,1458018,1099483,481312,154325,834823,578630,209845,287978,582600,254967,602429,625077,641229,350035630
América Latina,SECCION VI Productos de las Industrias Químicas o de las Industrias Conexas.,12022602,5028627,5715529,7714895,15010181,12777675,11437707,10908260,9377317,13182523,11350925,9948015,13643493,9868679,9442592,12226681,8924927,12571128,14186835,8814380,10586548,13301733,12393629,11883752,2226513,6688064,5514518,5783130,5940212,3049773,6279688,4021304,6686562,15182413,11390794,9255739,15071392,17670160,10888597,10641496,13896361,13017106,13198371,12021792,11939752,11609583,11289656,8100152,12075142,11323398,17444885,16104346,11664471,18151315,21875838,13351971,9667756,19986759,14756327,9506251,13928327,11629573,13996250,21126815,19543344,15962131,18149345,20028174,10821794,14349590,9075682,16922540,15081769,20713549,17850992,11706611,14552830,10866909,19750774,21277950,11180157,12327309,4556087,7548180,26021944,9493235,11460222,15100321,17428492,8591062,8012611,17830062,11660384,10046344,17991117,8853505,9411285,29427952,11367371,13948465,11358507,12986718,51420592,22961500,10891040,21038936,9913098,35841213,12272258,5601676,15936739,13477612,21336769,15709753,14881548,19923596,15234427,9238087,20588014,13894848,17171087,8930577,25253486,22204556,18719615,27083406,21437845,11993511,14795150,11081575,19896200,9878878,22544942,18505445,22978807,84946789,19045971,24166639,29898251,14327563,40533773,10441044,15950761,27075838,10939424,49787074,23440784,15599124,19868267,30059074,24653568,24591263,18903991,29724812,16103410,36984384,34331557,16794450,17383660,42158976,16095219,22357827,38559375,42217666,14566211,20329044,34261694,10459514,24145351,35000546,31571035,45111119,40914451,41940399,37524018,24343353,26063746,18742735,16761065,16968743,31191413,26194765,39776037,31556692,32891561,30523079,27716424,25674605,34636798,19675699,13620149,14623755,16490040,47562205,64425660,43624174,63396768,51524753,42722178,18286820,24959114,32029909,27512672,20055780,35733321,45443282,32836211,32177137,51460315,48882419,33818296,4172828670
América Latina,SECCION VII Plástico y sus Manufacturas; Caucho y sus Manufacturas.,1010764,1409626,1849713,2256474,2679480,2841028,2635070,2361530,2173429,2191890,1979042,2386924,1663606,1937876,2194234,1612828,2450977,2031761,1867631,2797762,2278634,2064788,1531204,1953922,999971,1176423,1320917,1897997,2495523,2222061,3059869,2761303,2789963,3571260,1884054,1621910,2148610,2037504,2310709,1746777,1872169,1985604,2956636,2406521,2946853,2808126,2584053,2888419,1420546,1639411,1466039,1516274,2417328,2177687,2812469,2748990,3217022,2290017,2961780,2005124,3980747,2847475,3267876,3454909,4019329,4209226,4095185,5555596,5040642,5885997,7092257,4955796,3791175,4643007,4675085,4492733,5759821,4187127,5553950,5646253,4499876,5063663,5952871,3188674,5706312,4985059,6078277,3423910,7565181,5942030,6586508,6289711,5826502,6883645,5114732,4537019,4686111,4894632,6072879,7402183,6748517,4957298,7441038,5992998,5803781,5825703,6805068,5546619,5367769,3153585,4012885,4615268,4054708,5238317,5222018,4196548,5451770,5390558,6674887,7455355,7000623,5462408,7971304,5750655,6937077,6374246,7335735,7978967,6407342,8965742,7396241,9315965,6333554,7191393,9167340,9040296,8363917,9756281,6838706,8865181,8623779,7547167,9266255,8373885,7492819,6716812,7558918,5658328,9031186,9274432,7524454,8456039,9161868,6360484,7084150,6917600,5790368,6770627,6583038,5467155,7814141,6294558,7691244,5908274,6119932,5739638,4603476,7356843,8081896,8907342,7451097,7726765,8196222,10258511,9045031,8966746,7201385,9953199,9028568,10115354,7439257,7701276,9367357,10556272,7759571,7787437,8048314,7929460,9285907,10610479,11120842,12616205,9655498,10757507,10873398,11350232,13400029,13050787,14883271,13247634,10639259,14119718,14027740,12923890,10574622,10964096,14146704,17863773,14272289,15268209,15598827,1261546942
América Latina,"SECCION VIII Pieles, Cueros, Peletería y Manufacturas de estas Materias; Artículos de Talabartería o Guarnicionería; Artículos de Viaje, bolsos de Mano y Continentes Similares; Manufacturas de Tripa.",467901,220153,71993,281094,218860,4873,45638,193650,398167,276539,314058,454348,453554,129158,223250,391875,404964,400325,545339,385626,900549,839317,397134,139506,194354,74298,331448,40261,199575,62353,96765,310038,265708,673761,189840,179260,430628,259968,157996,477693,249626,395906,107341,82093,244906,692010,263719,335277,420777,219014,544830,561259,339430,370206,76876,237392,392873,804749,271656,247455,311774,227900,441868,272352,135746,396582,584350,1542994,1350489,384958,272985,612792,331179,244399,421613,266640,573906,373094,563325,798701,683503,483317,1245384,325384,484338,416951,609400,391723,472935,525400,719466,1253628,553756,379173,922599,115030,678922,379613,264947,704496,240457,220672,679839,549788,403333,371145,763454,647779,101842,176228,213162,598988,619750,699591,176783,190254,649729,370842,64547,226251,611674,185124,792148,691694,309618,307495,944079,604302,943409,600041,1161814,849512,774298,503075,726809,892610,601391,675579,602540,926949,640999,567235,315215,977029,1607939,1755613,2638285,2605949,1515903,1469774,1605694,940998,862085,966928,856082,764989,1528487,746034,1446216,1128784,1664612,1586510,1154390,1268606,2206513,1125170,1381195,1028707,1575530,823834,2061848,1979792,1054679,1213164,1262360,819553,629457,839343,1423833,1739431,950323,745250,546008,675266,437201,713891,350222,230473,2426561,1231892,1209281,1194732,449429,184409,321113,401831,940783,972432,422040,599306,319333,277044,605427,2213314,455517,516569,362546,1089046,714413,1349000,817215,137846036
América Latina,SECCION X Pasta de Madera o de las demás Materias Fibrosas Celulosicas; Papel o Cartón para Reciclar; Papel o Cartón y sus Aplicaciones.,144344,204838,344181,603095,1332341,1640514,913812,416145,453089,359708,428199,611895,329281,349103,634098,407464,1547734,818320,892031,1067074,654953,396108,484130,717198,1439349,669589,769593,966528,3052603,873496,1186488,1201407,1371005,1880024,1418541,1668410,1101851,1537800,2020082,1942055,1923111,1811365,2377263,1857112,2537167,2351023,925193,1592950,1771956,2574829,2445835,2062111,3319546,2143787,3972737,3636612,1270946,2436867,948403,1886014,2120185,1493421,1068504,1998318,1936530,1958771,2035114,1978427,2140949,1133050,1297877,1322190,2444377,1052139,2394368,1587097,1433702,1935986,2008169,2578701,1918697,997127,1615119,1425781,2864036,2330010,2814152,3973291,3547728,3565002,3169958,4045865,3158993,3767532,2968148,2140371,2076730,3252914,4923954,4091174,3588265,3291655,3784542,3013508,2776899,2587457,1497459,2503656,1566876,1707550,2168895,1207635,1799376,1893140,2955500,2166297,2076236,2590474,2199151,2335141,2173017,2362452,2239750,2564810,3586582,2942073,2433721,2404576,3116373,2675778,2846764,2419562,3418555,3307392,4255792,3068055,3837596,3653444,4007321,3944258,3495897,2947167,3599053,2384270,3129400,2212315,3244629,2891043,3165441,3184720,3724541,3140472,4595653,4116833,4898872,3540645,3575907,2285802,2491801,3889198,9784736,6392251,9572240,4659897,4908141,4220506,5247959,3734042,12815873,8118126,15775636,15421135,12959103,11949361,11006812,11382846,8944945,6572357,6291115,7583564,10751155,10664220,10243553,9474509,6979943,11244643,8420196,8014784,7886906,13855361,8844317,8779965,6923579,7933801,9550342,9736000,8942796,11555657,9733119,9363652,9254934,7100880,7940462,8342029,7402964,9010944,10215055,10139792,13636750,12325670,10583831,824931290
