,Monto
0,184201588.0
1,209812150.0
2,206177987.0
3,193984710.0
4,188936649.0
5,176497741.0
6,170571934.0
7,213453105.0
8,190375350.0
9,226491300.0
10,231492812.0
11,205106823.0
12,1628330.0
13,1677727.0
14,1417988.0
15,972357.0
16,939289.0
17,743038.0
18,1174774.0
19,1145274.0
20,924650.0
21,1237762.0
22,1204378.0
23,1118482.0
24,1291060.0
25,2598763.0
26,7177628.0
27,5968904.0
28,5579930.0
29,3665253.0
30,8335586.0
31,13086784.0
32,3884756.0
33,7871155.0
34,1950147.0
35,1601679.0
36,1703657.0
37,1347368.0
38,1469897.0
39,2300127.0
40,1873596.0
41,1363041.0
42,1422686.0
43,1219265.0
44,1480990.0
45,1455130.0
46,3954476.0
47,1647873.0
48,3833.0
49,7490.0
50,3560.0
51,2954.0
52,3234.0
53,1300.0
54,270.0
55,1238.0
56,80.0
57,510.0
58,287.0
59,1235.0
60,192334531.0
61,147237405.0
62,198226433.0
63,168923365.0
64,175626361.0
65,169275847.0
66,155214405.0
67,323553366.0
68,189724587.0
69,197157442.0
70,186261472.0
71,242855867.0
72,830356.0
73,441432.0
74,503758.0
75,633786.0
76,438855.0
77,523084.0
78,384542.0
79,502383.0
80,538998.0
81,558994.0
82,683214.0
83,802993.0
84,4053044.0
85,4749897.0
86,4648694.0
87,5717631.0
88,4428425.0
89,4700126.0
90,6567657.0
91,9988983.0
92,4638547.0
93,7586434.0
94,6610099.0
95,4276965.0
96,4110941.0
97,3070324.0
98,960132.0
99,1166471.0
100,1332445.0
101,1886427.0
102,3435939.0
103,2868756.0
104,2044182.0
105,1013141.0
106,1744764.0
107,1843572.0
108,50.0
109,0.0
110,100.0
111,20.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,246231013.0
121,954222248.0
122,1166798458.0
123,1057216797.0
124,671422653.0
125,1011850120.0
126,889310648.0
127,772404054.0
128,939412729.0
129,1084763138.0
130,1008506956.0
131,888900616.0
132,189082.0
133,564822.0
134,294501.0
135,335678.0
136,567335.0
137,361017.0
138,351971.0
139,493521.0
140,348450.0
141,450989.0
142,445272.0
143,485057.0
144,7975988.0
145,7293602.0
146,9102897.0
147,8568979.0
148,6914245.0
149,7157155.0
150,6544623.0
151,6636428.0
152,6340015.0
153,4508206.0
154,7034842.0
155,11332816.0
156,7718778.0
157,11232575.0
158,7081126.0
159,7589944.0
160,6667544.0
161,7282377.0
162,6155599.0
163,6963538.0
164,5981368.0
165,6217323.0
166,7471749.0
167,9046228.0
168,100.0
169,0.0
170,200.0
171,90.0
172,0.0
173,90.0
174,0.0
175,0.0
176,0.0
177,50.0
178,0.0
179,200.0
180,8405052.0
181,4886786.0
182,3976625.0
183,6005280.0
184,7214604.0
185,7068321.0
186,3560762.0
187,5072911.0
188,5441904.0
189,7451467.0
190,4671475.0
191,8835510.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,2900.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,1066.0
205,827795.0
206,90.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,340450.0
214,85528.0
215,0.0
216,30000.0
217,198261.0
218,203950.0
219,40501.0
220,102000.0
221,77931.0
222,0.0
223,84950.0
224,0.0
225,4500.0
226,126437.0
227,312415.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,10362671.0
241,13620941.0
242,11864106.0
243,11475576.0
244,7563725.0
245,19926936.0
246,14333464.0
247,12179347.0
248,17812245.0
249,15524053.0
250,34757883.0
251,16112615.0
252,10240.0
253,0.0
254,28456.0
255,0.0
256,27232.0
257,0.0
258,0.0
259,10205.0
260,0.0
261,9402.0
262,18216.0
263,0.0
264,7895.0
265,16720.0
266,0.0
267,1085.0
268,67990.0
269,44397.0
270,9842.0
271,33484.0
272,53642.0
273,51407.0
274,35280.0
275,25203.0
276,20491.0
277,14771.0
278,86013.0
279,111280.0
280,43668.0
281,27000.0
282,14760.0
283,26000.0
284,12971.0
285,0.0
286,5160.0
287,86051.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
